ShaShiYaYi 	parece que ya está muy lejos de Kako	Moabiresronki Kakonko kikin ani peixobo irabeke
ShaShiYaYi 	En esto adquirimos conocimiento de la palabra de Dios y hemos puesto nuestra confianza en él	Nawan joinra nato jishamanbo non ointi atipanke, jawekeskárin ja akanai joitsamá ixon
ShaShiYaYi 	si no hubiera esperanza nos habrían matado	Onpax yamaketian noa nomin retekeanke
ShaShiYaYi 	escribe lo que dice la escritura	Ja wisha ikainoa, ja joi yoi ikabo wishawe
ShaShiYaYi 	que la viuda de una joven dé a luz al hombre	Westiora xontako jimii peokotamatoninra ja joni jawekiamati jake
ShaShiYaYi 	esta joven es muy lista para cocinar	Nato xontako riki yoaati onan
ShaShiYaYi 	vengo mañana a las nueve de la mañana	Inin Nima, bakishra ea nokotai
ShaShiYaYi 	es imposible que renueven su arrepentimiento aquellos que han sido una vez iluminados, que han saboreado el don celestial, que han tenido parte en el Espíritu.	tsakayamakanai ononmashoko ikaibi, sama xatenaketian
ShaShiYaYi 	ellos tenían un diseño de maguey para quemarlo con sal	Chitonti keneya jabaon keshaati ika iki: komokomo, tononon ati, tanonin
ShaShiYaYi 	El que esté sobre la mesa, que tenga testimonio de dos o tres testigos.	Tsaká, tawish, tsaká betan tawish, rabé tsaká itan kimisha tsakábora ja joi pataxbi wishati iki
ShaShiYaYi 	si una palabra no nos llega todo está a nuestro favor	Westiora joi noa yoyo iamaara jatibi noa moa yamati iki
ShaShiYaYi 	no lo encuentren al amanecer	Nete xabaketian benakinbi jawen anibaon nokoyamapaonike
ShaShiYaYi 	esta es la raíz	Neskara iki nawari
ShaShiYaYi 	no dejes que los peces o animales se peinen o se peinen	Yapa iamax yoina chachikin itan tsakakin kenenaketian
ShaShiYaYi 	entonces el hombre no comió nada	Jaskáaxonronki inon mananxawe piama iki
ShaShiYaYi 	Porque los hijos de la mujer son de carne y hueso, y no tienen necesidad de sus padres,	Moatian ipaonike westishoko jaton keenakeskati bakeronanbo wanoi, jawen anibo keenyamaibi
ShaShiYaYi 	cuando ocurre algo malo hay que tener cuidado	Jakonma jawekibo ikaitianra koirameti iki
ShaShiYaYi 	Cuando una enfermedad te hace sufrir, te pones a prueba y no te das por vencido.	Jaskaakin raonax joni mia wexai joaitian mia poikas poikas ikai, ja poi teneax mia chankaketian mia jonin miares wexai, min kopiti atipayamai
ShaShiYaYi 	antes de ir a su encuentro mi hijo jacob lo buscó	Jawen epaiba merati kanoxonra nokon baken ochíti benawanke
ShaShiYaYi 	voy a leer esta carta	Nato wishara en yoyo akai
ShaShiYaYi 	porque el que está sano no tardará en llegar.	Jara jatishan ike, isimanra ibirati iki
ShaShiYaYi 	los primeros en nacer, los segundos en resucitar,	Ainbo mawaketian jainoax bake mawaketian, jaton rarebaon xobo napobi jato minkatikanai
ShaShiYaYi 	llévalos aparte de lo que tienen	Jatian bekin apaokanike jato jayatashokobiribi bekin
ShaShiYaYi 	esos son	Jabo riki
ShaShiYaYi 	ese día de reposo el hombre comerá y comerá	Ja samatai netebora jonin kanoti itan piati iki
ShaShiYaYi 	escribe en tu libro lo que dice el anciano	Winota yoiya wisha min kirikain wishawe
ShaShiYaYi 	de igual manera la mujer debe hablar a su marido	Jaskaribi jawen bene ika joibi ainboan jawen bene yoiti jake
ShaShiYaYi 	nos apresuramos a partir la canoa y luego nos marchamos	Moa tsakaaxra noa ishton paketai nonti xotontaanan noa kai payari shinan
ShaShiYaYi 	ese es el que me va a picar	Ja riki jan ea atapa chachiti onanmai
ShaShiYaYi 	por eso el hombre que busca a las muchachas	Jaskarakopi bake xontakoyaboan benakanai joni
ShaShiYaYi 	que nos paguen por nuestras enfermedades	Noa isin akana jato kopiti
ShaShiYaYi 	algunos árboles murieron	Jatíribi jiwibora mawáke
ShaShiYaYi 	los que habitan la tierra y los que habitan la palabra de dios la obtuvieron	Shipibobaon jaa tsakábora nawan join yoyo ikanaibaona biá iki
ShaShiYaYi 	he trabajado duro	Joira ea kikini teeke
ShaShiYaYi 	después de leer este texto, explica las preguntas	Nato wisha yoyo axon, yokatabo yoiwe
ShaShiYaYi 	estos son los que dicen: “ Cosecha la comida de nuestros hijos, prepara a los peces grandes para que puedan echarlos en la pesca	Neskaakin yoikana iki: Yosi, noa yapa axonwe non bakebora jawekiatinin ikai, jarake yapabo ani paronbores, noara kenai yapabo non weamanbo jati
ShaShiYaYi 	¿Por qué?	¿Jawekopi?
ShaShiYaYi 	¿Para qué otras cosas existen hoy?	¿Jaweatiboribirin ramatian keneya jawekibo?
ShaShiYaYi 	fíjate en las palabras "sh" y "x" de este hombre y fíjate cómo escriben los jes	Nato chitemeran jake "sh" betan "x" ya joibo, oinshamanwe jawekeskara jeebo wishatirin ixon
ShaShiYaYi 	¿Por qué es bueno tapar los alimentos con agua?	¿Jakonrin yoabo jenen mapoti?, ¿jawekopi??
ShaShiYaYi 	a partir de estas dos palabras elijamos a uno	Nato joitsamákan rabé shinan yoiketian non jainoa westíora katotai
ShaShiYaYi 	ve rápido porque ya es tarde	Ishtoncha kawé, moara yantanyorai
ShaShiYaYi 	llévalos en una casa grande y bien arreglado, y llévalos a la mesa.	Ani xoboakin akatikanai, jatonbicho wita tanyanxon, xeatiaxon jato iaxon bekinkin
ShaShiYaYi 	debemos saber que cuando vayamos a visitarlos los visitaremos	Jaskarakopi non onana iti jake wetsatianbo jatoiba kaxon non jatobetanbi yomeratikopi
ShaShiYaYi 	Porque el que entra en su reposo, reposa también de sus obras, como Dios reposó de las suyas.	Jan ponteti tekíjoibora pekáo iká joibo keská iki, jaskáaka ixon jan ponteti senenainoa joipakexbo biti atipanribike
ShaShiYaYi 	hay que hacer que llueva para que llueva	Yantan kobin ati riki matsinon ixon
ShaShiYaYi 	de la misma manera hizo todo el mundo	Jaskaxonki anike jaton ikabo jonin jatibi jato mawakin
ShaShiYaYi 	al atardecer pídele a una mujer que le corte el pelo y que esté bien sana	Moa iti nete senenaitian benapaokanike westiora ainbo jan besteti jatian ja ainbo kikini benxokata ipaonike
ShaShiYaYi 	Apresúrate a sacar la astilla de tu hermano, o de tu hermano, o de tu hermano, o de tu hermano, o de tu hermano, o de tu hermano, o de tu hermano, o de tu hermano, o de tu madre, o de tu hermano, o de tu hermano, o de tu hermana, o de tu madre, o de tu madre, o de tu hermano, o de tu madre, o de tu hermano, o de tu madre	Sapen, xawe, wame, amakiri itan wetsa yapaboribi icha yomeraxon akatikanai jatibi jawen kaibobo chanikin, pakexshoko inonbi bii bekanon ixon
ShaShiYaYi 	en Kakonko cae la lluvia sobre la ciudad	Kakonkora jema napon abion paketai
ShaShiYaYi 	después la mujer podrá ya levantarse en el lugar de honor	Jaskaakana pekao ja ainbo moa niti atipanke, jawen keennainko
ShaShiYaYi 	todas las ciudades se llenaron de plátanos	Jatibi jemankoronki paranta kikin akin jenen jato keyonaana iki
ShaShiYaYi 	también les enseñaban estas cosas	Neskara jawekiboribi jato axeakatikanai
ShaShiYaYi 	estos hombres curaban y otras plantas y se regocijaban	Jaskarabaon raometi, mesko raobaonribi bechexekana iki
ShaShiYaYi 	está bien que salgan de la nave sin que antes salgan otras fuentes	Jaskaakin aka ikai, ja rao motsa mesko jene pikoti jaskara iwanaxmabi
ShaShiYaYi 	ese símbolo no es de valor alguno	Ja onantira iresa jawékima iki
ShaShiYaYi 	antes de que el remolino naufrague, el hombre se desmayará y se hundirá	Masen repa nashokixon jawen jenen wexati montanti janiamatianbi, jaskaaxon tseweaka joni mankoai
ShaShiYaYi 	sale de la canasta el timbre negro y se come las uñas de los peces	Taemeax jokoni boi wiso mayati; jatian yapa beshe piibiribi bawin aniosibo too iyakei keto naman keni charotabo jainoabi machitonin mareti senen
ShaShiYaYi 	ahí viene mi padre	Ja joni joaira nokon papa iki
ShaShiYaYi 	para que me sirvas este dibujo que has traído, voy a comerlo	Nokon wai oronoxonra nato keó min beá, en kokoai
ShaShiYaYi 	¿Dónde podemos encontrar peces pequeños y grandes?	¿Jaweranoamein maxko itan ani yapabo non nokoti iki?
ShaShiYaYi 	el huevo no puede entrar en la boca del pez	Yantanbi bachin jikitima mankonaketian
ShaShiYaYi 	Así que el amor de Cristo se ha perfeccionado en todos los que viven.	Jaskati japaokanike jatibi jonibo noiyananax, jaskati jakanketian apaonike jonibo jabora jakoni jakana iki akin
ShaShiYaYi 	una semana sentado en un huevo	Westiora simana senen bachimeran yakati
ShaShiYaYi 	Voy a terminar mi carrera y luego seguiré mi camino	Pikinpari senen’abanon, japekáora ea nashiai
ShaShiYaYi 	Ahora bien, en verdad, en verdad os digo que si una mujer no se casa con un hombre de edad muy avanzada y llega a ser esposa de un solo hombre	Moatianra ipaonike, ani senenamabi itan senenketian bake ainbo benomati
ShaShiYaYi 	así que lo que se siembra en la tierra no es la comida que se cosecha	Jaskara ikebira jenen mapoxon non banabo keyonanai ja jawekiatibobi yamatiakin
ShaShiYaYi 	Debes pagar el pato que debes pagar, no sea que te des por vencido y tengas que abandonar tu casa.	Minra kopíati jake, ayamaxra mia xobomeax pikóti iki
ShaShiYaYi 	¿Por qué están los otros alimentos?	¿Jawekopiki yoabo jaskara itina?
ShaShiYaYi 	Este es el pacto que harecon ellosdespues de aquellos dias, dice el Señor: Pondre mis leyes en su corazon, y en su mente las escribire, añade:	Nato joai nexati joibora, non join, senenma tsinkita joitsamábaona iki; ikaxbira nawan join senenbires tsinkita joitsamábaona iki
ShaShiYaYi 	no debemos hablar con nuestros enemigos	Non esebiribi iki non rayosbobetan yoyo itima
ShaShiYaYi 	Qué más da estar o no estar circuncidado!	Jawekeskáki joibo joyota iki, ja joitsamanko
ShaShiYaYi 	Ahora bien, las cosas que reciben censura son cosas que no han sido escritas con relación a nosotros.	Ikai joibora, non yoia keská, ja akanai janeoma iki
ShaShiYaYi 	no pierdan la cabeza ni se desmoronen	Jaskara kopi moatian yosibo jawetianbi isini rakayamapaonike
ShaShiYaYi 	nosotros vamos a escribir lo mismo en todas partes	Taponbora non wishai jaskarabires jatibi joinkobo
ShaShiYaYi 	un machete de machete sirve para tapar el barro	Meraxon machitonin non rerai mapoki
ShaShiYaYi 	esta bebida se prepara al amanecer	Neskara xeakinra ati iki nete xabataitian
ShaShiYaYi 	el que naufragó rápidamente está llegando al lugar de los muertos	Jan nashixon ishtonbires chaikonibo nokoti rao riki "Chaikonin nawa rao", jene meran biri biri ikai
ShaShiYaYi 	y el niño no se duerme para siempre	Jatianra bake jawetianbi isinyamai
ShaShiYaYi 	a su debido tiempo lo sacan del basurero	Ja simana senenketian akanai jan jato imaaboan bachimea pikokin
ShaShiYaYi 	esta higuera es muy afilada y tiene muchas raíces	Nato xobi riki ininshaman, ja raoribi akanai jene chaikonin niwe rao akin
ShaShiYaYi 	el gato murió esta tarde	Mishítora nato yantan mawáwanke
ShaShiYaYi 	tenemos muchas cosas que decir	Non yoia joinra icha joibo jake
ShaShiYaYi 	¿Quiénes son ahora los diseños?	¿Tsoabaonribiki rama kene akai?
ShaShiYaYi 	nuestro idioma tiene su origen en una palabra que va desde un extremo hasta el otro	Non joinra jatíribi tekíjoi senenainko joipakexya iki
ShaShiYaYi 	los que están en el libro van a jugar a Sepa	Nopokiain kirika akaibora Sepawain tsinii bokanai
ShaShiYaYi 	en total son 22.517 personas del año 2007	Shipibobo riki 22 517 joni 2007 baritian toponkani
ShaShiYaYi 	por eso también lo hacen	Jaskara oinxonra too akanai
ShaShiYaYi 	¿Dónde y cuándo paso yo a escribir?	¿Jawerano itan jawetian winotaki en wishai?
ShaShiYaYi 	¿Qué cosas hacen también los niños?	¿Jaweboki shipibobaon akai keskaakinribi akanai?
ShaShiYaYi 	también a una viuda se le echa el huito	Jainxon aribakatikanai benomaata ainbo nanen raskikin
ShaShiYaYi 	allí vamos a traer a los peces y allí vamos a seleccionar el que sea grande	Jain noa jaska jaskataira beai payaribo jainoara non katoti jake jaweratoki anishaman iki ixon
ShaShiYaYi 	no dejes que el huevo cante hasta el amanecer	Neteaikaman bachin narakatima
ShaShiYaYi 	estoy recorriendo el río de noche	Yamébi joira ea paboronimeax reokooke
ShaShiYaYi 	cada año crecía un manantial	Kantsin baritiatibi ikaitian piiki ania iki
ShaShiYaYi 	no se les permite beber y no se les permite hablar en lenguas	Ja jato mawama baritia senenama iketian jato mawamabo xeatinin boyamakanai jainoax icha join yoyo iamaribakanai
ShaShiYaYi 	cuida bien a mi hijo	Nokon bake jakon’akin koiranwe
ShaShiYaYi 	el lago jepe y el lago grande	Jepe ian riki ani ianribi
ShaShiYaYi 	en el libro de moisés ponen a los niños	Jaskaaxonbiri jaton bakebo kirika amakanai
ShaShiYaYi 	Puedes ver en este lugar de reposo lo que significa la palabra de Dios,	Nato joai chitéainra pacha joi mawishoma betan pacha joi jayá min ointi atipanke, wetsakeská jawéki yoikin
ShaShiYaYi 	también el cuidado del cuerpo	Jaskaxon yora koirantibo
ShaShiYaYi 	así también el hijo mayor será padre de todos y será padre de muchos hijos	Jaskaribi Senen Biri iki masha iti onainra kikin temenin jainoax bake biti onanribi
ShaShiYaYi 	por eso las autoridades de panania se reunieron con las autoridades de la ciudad de Maijoshinia para tratar este asunto	Jaskara kopira Pananyainoa jema koshibo Maijoshinyain bekana iki koshibobetan yoyo iki jemankoxonbi moa jaweshaman ati atipanyamax
ShaShiYaYi 	luego pregúntales qué es lo que están haciendo para que escuchen.	Japekao jato yokawe, ninkatiki ika ixon, ¿ninkatirin?
ShaShiYaYi 	Dicen que mi papá no tiene camisa	Eparonki kotonoma yakake
ShaShiYaYi 	esas cosas eran diferentes	Ja beshe jawekibo ika iki
ShaShiYaYi 	por eso los judíos dicen que el camino es muy largo	Jaskara iketian ja tekíjoira wetsaresibiai shipibobaon join
ShaShiYaYi 	porque el hombre que ha entrado en el descanso[ de Dios] ha descansado él mismo tres meses después de la siega de un hijo;	Jaskaribiakin moa yosi ixonbi xeaxon samati jake kimisha oxe, masen bake pochinikon jawen jene xeati jake
ShaShiYaYi 	Y esto es lo que haremos, si Dios nos lo permite.	Nato senen’amatininra ja jan joi yoiai kikin’akin jawen iká jawekibo onanmai: jawen shinana jawékibo, jawen keenkiranti jawékibo, jainoax jawen keenshaman jawékibo, jaskátaanan yoyoibekontibo
ShaShiYaYi 	muéstrenles la red llena de sacrificios y duerman en la orilla del río	Nawabo rikatonin boax axeketian retexon jawekibo bipaokanike, jaskara kopi non paro pikota chimakayan oxa, onsa ipaokanike
ShaShiYaYi 	Viendo estos dos hombres que iban pasando, se pusieron de pie a un lado y a otro de la ciudad,	Nato jishaman rabé rabébo oinxon, rekenain, ja tekíjane toan tekíjanen akinai joitsamá iki, ja wetsa joitsamánko niakaata
ShaShiYaYi 	de modo que no se desanimen a causa de lo que está por sucederle	Jaskara kopi, jakoma isimanshokobi jato keyopaonike
ShaShiYaYi 	labrar las hojas de la casa, levantar el lazo para que no crezcan los labradores, cultivar las hojas para hacer el pino y arreglar la ciudad	Jaskaribiakin pei papiti, wita nichinti, irakanti keyanti, marakanti keyanti, pei xewati, boro tsekati, jema benxoati
ShaShiYaYi 	escribe la lectura de esta historia	Nato winota yoiyai (Yoabo jenen keyoa) yoyo axon wishawe
ShaShiYaYi 	porque no entra en su corazón, sino en su vientre, y va a parar a la letrina?	Ranchara nokotama iki, jaskara ikaxra kasorina yamake jan kati
ShaShiYaYi 	a partir de ahí el discípulo puede llegar a ser alguien que lo haya sacado	Janekopi non onanai jawe yoirin noa ixon, iti atipanke jainoabi jawekibo iamax jonin pikoa
ShaShiYaYi 	mi padre se fue a una ciudad grande y prontamente lo volvió a encontrar	Nokon papara ani jeman kake, janbira ishtonbires jakiribi baneke
ShaShiYaYi 	Puede obrar con benignidad (compasión) para con los ignorantes y extraviados, puesto que él mismo está sujeto a flaquezas.	Wetsatian, icha joipakexbo jain joyota iken, ja joinbora non join kikin nenkébo iti atipana
ShaShiYaYi 	esto es lo que dice el pueblo de sina	Ja sina jonibaon jenronki iki poi tere jonibo retemis jonibo
ShaShiYaYi 	el nombre del profesor debe ser explicado	Jan akai janeki oricha yoiti
ShaShiYaYi 	Puede ser que algunas personas nos contradigan, pero lo que decimos es verdad.	Ikaxbi iti atipanke japatax wetsa joipakex, neskara
ShaShiYaYi 	¿Cuándo cumples con tu deber?	¿Jawetianki min janken’ai ja min akai?
ShaShiYaYi 	en la lengua de rario mandó llamar a un anciano para que le hablara y luego a un curandero para que preguntara cómo debemos cuidarnos de los alimentos cuando surgen diferentes enfermedades	Rarionin yoyo ikaitoninra westiora yosi kenamake jabe yoyo inoxon jainxonribira kenamake westiora raonmis joni, jabo yokakanai riki jawekeskataxki jawekiatibo yamaitian noa koiranmeti iki jainoax mesko isinbo pikotaitianribi
ShaShiYaYi 	mira las escrituras del anciano y mira cómo están escritas	Winota yoiya wishakan jisa oinribiwe non moa oina peinko
ShaShiYaYi 	¿Quién es la mujer que viene?	¿Ja joai ainboki tsoa iki?
ShaShiYaYi 	no estás saliendo	Miara pishinoma iki
ShaShiYaYi 	él llegó ayer	Jara bakish joibake
ShaShiYaYi 	no se debe comer la sal durante una semana y tampoco se debe tomar la masa que se ha mezclado	Jainoax westiora simana tashi mokaira pitima, asokaro bataira xeatimaribi
ShaShiYaYi 	conversa con el profesor	Axeamis yoyo ika yoyo awe
ShaShiYaYi 	diles mirando los dibujos	Ribojobo oinxon yokabo yoiwe
ShaShiYaYi 	Porque el que ha entrado a su reposo, él mismo ha reposado de sus obras, como Dios reposó de las suyas.	Moa joti shinanbekona ixon akatiai jonin jaya joti yomerakin, jawen rayosbaon keenshaman pitibo
ShaShiYaYi 	escribe la explicación de tu mente	Rabe shinan yoiya wishawe jakopi min yoiya
ShaShiYaYi 	escribe en un cuaderno el significado de los escritos de Toro y los demás documentos	Toromeran, jan wishati joi tsosa min wishaabo, janepakewe, jainxon jatibi jeebo neskaratonbo (//) apakewe
ShaShiYaYi 	pero ella no sabía que sus padres lo habían engañado	Ikaxbi jaskara jaweki ja xontakonin onanyamakatitai jawen anibaon moa joni onantiaxona ikenbi
ShaShiYaYi 	el río está lleno de peces como otros peces	Payari riki kikinbires onon yapa wetsa yapabokeskaribi
