Extra_Educational 	finalmente, cuenta con los niños cuántas salieron al contar prueba a  un niño para que cuente	seneanxon bakebo toponkinwe jawetirin ixon westiora bakebo tanakin toponti yoiwe
Extra_Educational 	mira los dibujos que contienen los materiales para demostrar cómo lavarse las manos	jan chokitibo itan jan tsinitibo ribojona oinxon
Extra_Educational 	coge los dibujos y pégalos como te parece que es tu comunidad	ribojobo bixon min jema jisakin taxnanwe
Extra_Educational 	ustedes van pegando los pedazos de dibujo donde corresponde	maton ja ribojobo ja yoi ikai pakex patax taxnanai yoi ikai pakex patax taxnanai
Extra_Educational 	luego, los niños deberán diferenciar los diseños de nuestra cultura y de otras culturas, para eso debes ya habérselos hecho saber según tu experiencia	japekao bakebo non chopa keneya itan keweyabo itanribi wetsa join yoyo ikaibaona onamanwe min onanatonin
Extra_Educational 	el profesor explica el trabajo que debe realizar con los niños	axeamisnin jaskaaxon bakebo betan tee atibo yoiya
Extra_Educational 	qué nos proporcionan los árboles	jaweboki noa jiwin noa meniai
Extra_Educational 	siéntate con los niños en círculo y luego entrégales diferentes semillas y pedazos de hilo para que elaboren sus collares	bakebo torokinxon jato yakakinwe, jainxon yoman pakexbo itan mesko bimi berobo menixon jato keonmawe teotiakanon
Extra_Educational 	entrégales a los niños el cuaderno de trabajo y explícales cómo deben realizar el trabajo	jan teeti kirika bakebo menixon jaskakin tee ati yoiwe
Extra_Educational 	haz una máscara con los dibujos de la paña y del boquichico	make betan boe ribojanxon besaometiawe
Extra_Educational 	escucha los que dicen los niños	bakebaon yoiyaibo ninkawe
Extra_Educational 	luego haz que los niños separen y agrupen solamente frutas y solamente los otros alimentos	japekao bakebo katomawe kokoti yobibores itan yoabores tsamanti
Extra_Educational 	el profesor hace diferentes preguntas a los niños en el aula	axeti xobonko iwexon mesko yokabo axeamisnin akai
Extra_Educational 	agrupa a los niños de a tres y haz que jueguen	bakebo kimisha tsama imaxon joni imawe
Extra_Educational 	sal con los niños al patio y explícales cómo deben cuidarse delos peligros	bakebo jeman pikokinxon jato yakakinxon esewe jaskaati koirametiki
Extra_Educational 	los niños escuchan silenciosamente la manera correcta de sembrar	jaskaakin banati yoiyai bakebaon netexon ninkakanai
Extra_Educational 	pregúntales a los niños qué han aprendido	bakebo yokawe jaweki axekana
Extra_Educational 	para hacer este trabajo, conversa con el anciano para poder visitarlo a su casa con los niños, coordina con los niños las preguntas que vas a ir a hacer	nato anonxon yosi yokawe iamaxon yosi betan yoyo iwe bakebo merakinoxon, yosiba meranonxon shinanbo awe
Extra_Educational 	reflexiona con los niños sobre diferentes temas y reúnete ordenadamente	bakebo betan mesko joibo seneanwe jakonax raenankanon
Extra_Educational 	por qué no debemos ir a nadar solos	jawekopimein noa noabicho senatima iki
Extra_Educational 	luego de entregarles el cuaderno a los niños para que trabajen, explícales cómo deben hacerlo	jan teeti kirika bakebo menixon jaskaakin tee atibo yoiwe
Extra_Educational 	para realizar este trabajo trae al aula lo siguiente tela bordada o pintada manta, bolsos, corona, falda y mantas de otras culturas, sus mantas, bolsos, chullos y demás, si no hubiese, dibújalos	nato tee anonxon bewe axeti xobonko, non chopa keweya iamax keneya manta, pisha, maiti keneya chitonti itan jainxon wetsa join yoyo ikaibaonaribi bewe, jaton manta, pisha, maiti itan wetsaboribi, yamaketian ribojanwe
Extra_Educational 	conociendo los colores de la bandera	baderanin jisa onanti
Extra_Educational 	en el aula, pregúntales a los niños cómo han los han sembrado	axeti xobonkoxon jaskaakin banakanabo jato yoimawe
Extra_Educational 	es bueno que tengamos sembríos de frutas ahora escúchales a los niños	jakonrin noa yobin, jiwi banayabo iti bakebaon shinanbo ninkawe
Extra_Educational 	recuérdales a los niños	bakebo shinanmawe
Extra_Educational 	los niños aprenden tocando los piripiris	bakebaon wastebo meexon onankanai
Extra_Educational 	creando diferentes modelos de cerámica	mapó axon mesko jaweki pikoabo
Extra_Educational 	siéntate con los niños en el suelo y muéstrales los materiales traídos para realizar la tarea	bakebo naman yakakinxon oimawe jan teeti beabo
Extra_Educational 	el abuelo reflexiona con los niños sobre la importancia de la familia	yosin bakebo eseai non rareboki
Extra_Educational 	ahora pregúntales a los niños	ja pekao bakebo yokawe
Extra_Educational 	los bosques irán a acabarse	niibomein keyotima iki
Extra_Educational 	cómo serán esos peces sienta a los niños y entrégales la calabaza. después, les pone las piedras delante de ellos y explica deberán poner una piedra grande en una calabaza y en otra calabaza piedras chicas. haz que uno de los niños explique cómo han clasificado las piedras	jawekeskara jisamein iki ja yapabo bakebo yakakinxon masen beabo menipakewe jainxon jato bebon makanbo tsamanxon jato yoiyai westiora maseman ani makan napoxon wetsanbiri maxko makan ati, jainxon westiorabo yokaxon yoimawe jaskakin katokanabo
Extra_Educational 	siéntate con los niños en el suelo y muéstrales los trabajos que ellos han realizado	bakebo naman yakakinxon ja tee akanabo bexon jato menipakewe oinkanon
Extra_Educational 	el profesor, después de lavar las frutas, las pela y las comparte con los niños	axeamisnin bakebo yobin chokaxon rataxon raton axon kokokinwe
Extra_Educational 	el profesor explica a los niños cómo deben realizar la tarea	axeamisnin jaska axon bakebo betan tee atibo yoiya
Extra_Educational 	pon los dibujos de las hojas de la planta recortadas pegándolos en el círculo	rao peibo ribojana tsekaxon ja chitemeranbo taxnanwe
Extra_Educational 	por qué no se los puede sembrar en cualquier lugar	jawekopimein wetsankobires yoabo banatima iki
Extra_Educational 	los chaikonis cuidan nuestros bosques, y la anaconda, nuestros ríos	chaikoninra non niibo koiranke, jenera roninmabiribi ake
Extra_Educational 	luego, diles a los niños que la adornen bonito	japekao metsaakin rao ati bakebo yoiwe
Extra_Educational 	dice que la fiesta era el ani xeati, en ese lugar cortaban el cerquillo de las niñas adolescentes. también a los animales se les flecheaba, para ir a ese lugar las mujeres y los hombres se arreglaban	pishtaronki ikatiai ani xeati jainronki akatikanai bake xontako bestekin yoinaboribi tsakakin jain kanoxronki ainbobo itan benbobo metsati
Extra_Educational 	qué será una vez que los niños recuerden, saca a los niños  y pregúntales sobre los otros después de habérselos mostrado, puede ser hoja, ropa, plumones, entre otras cosas	jawemein iki bakebaon moa shinanketian wetsa shinanxon biti jato pikomawe, mesko jawekibo jato oinmaxon, iti atipanke kirika, chopa, jan sikati itan wetsa jawekiboribi
Extra_Educational 	cuáles son los colores de la bandera	jawekeska jisakan sikayarin bandera
Extra_Educational 	qué están haciendo los hombres	ja joniboki jawe aki iki
Extra_Educational 	sal al patio y reflexiona con los niños	bakebo betan shinanbo awe jeman pikonoxon
Extra_Educational 	coordina con un anciano de la comunidad antes de llevar a los niños para que lo visiten	westiora yosi betan joi senenanwe bakebo merakin iwenoxon
Extra_Educational 	qué trabajo te ha gustado más de los aprendidos	jawerato teeki mia axeameran min kenshaman ika
Extra_Educational 	entrégales a los niños el libro de trabajo	bakebo jan teeti kirika meniwe
Extra_Educational 	ahora dibújales platos a los niños que no los tienen, luego cuenta cuántos platos hay, cuenta hasta cinco	rama ja bakebo kenchaomabo ribojanxonwe, jainxon jaweti kencharin toponwe pichika kaman toponwe
Extra_Educational 	recuérdales a los niños de esta manera cuáles son las frutas, cuáles los otros alimentos	bakebo shinanmawe, neskakin yoixon jaweratoborin kokoti yobinbo, jaweratoborin yoabo
Extra_Educational 	explícales a los niños cómo deben realizar el trabajo	bakebo jaskaakin tee ati yoiwe
Extra_Educational 	haz diferentes preguntas en el aula haciéndoles mirar los dibujos	axeti xobonkoxon ribojo oimaxon mesko yokabo jato akai
Extra_Educational 	los que se equivoquen en el juego irán saliendo	jaweratoboki benotai jabora tantiai
Extra_Educational 	muéstrales la bandera dibujada a los niños y pregúntales	bandera ribojana oinmaxon bakebo yokabo awe
Extra_Educational 	luego siéntate con los niños en el suelo y diles ahora cierren sus ojos y escuchen nuestros bosques y nuestro árboles cuando el viento sopla y hace sonar sus hojas, también el cantar de los pájaros. luego los niños regresan al aula y el profesor hace diferentes preguntas	jainxon bakebo naman yakakinxon yoiwe rama betixon ninkakanwe non nibaon itan jiwibaon peibo niwen aka xaa ikai itan meskoti isa keotaibo. axeti xobobko joxon axeamisnin mesko yokabo akai
Extra_Educational 	después de escuchar la explicación de los niños vuelve a leerles la historia, finalmente haz que expliquen el trabajo que han realizado	bakebaon sihinanbo ninkata pekao, jakiribi jato yoyo axonribiwe, senentian jaskara tee akana jato yoimawe
Extra_Educational 	después de realizar la tarea léeles a los niños	tee seneanxon bakebo yoyo axonwe
Extra_Educational 	y los peces chicos en el círculo chico	ja maxko toro ikainko maxko yapabo awe
Extra_Educational 	el profesor les explica a los alumnos cómo deben realizar la tarea	axeamisnin jaskaaxon bakebo betan tee atibo yoiya
Extra_Educational 	cuál de los trabajos que has aprendido te ha gustado más	jawerato teeki mia axeameran min kenshaman ika
Extra_Educational 	escoge a un niño y haz que sea el dueño de la chacra , él será de mentirita el que está cultivando su chacra de yuca, haciendo que su mano haga de machete, cultiva alrededor de los niños que están en fila	westiora bake katoxon wai ibo imawe jaara paranshoko jawen atsa wai oroi jisati iti jake, jawen meken machito jisakin axon oroi, ja bakebo joyota katekin oroai
Extra_Educational 	el profesor les muestra a los niños los materiales para colorear y les explica podemos colorear nuestros dibujos con huito y guisador, además, podemos teñirnos el cabello con el huito para negrearlo, con el guisador también aderezamos nuestra comida	axeamisnin bakebo jan sikatibo oimaxon neskaakin yoiyai nanen itan koromanra non tee akabo sikati atipanke, jaskaribira nanen mapoki noa ikai wisoanoxon, koromanribira non pitibo noe akai pei
Extra_Educational 	mostrándoles las cerámicas a los niños, pregúntales	bakebo chomo oinmaxon yokawe
Extra_Educational 	ahora pregúntale a los niños de esta manera	rama bakebo yokawe neskaakin
Extra_Educational 	en primer lugar, escoge a un niño que será el dueño de la chacra de yuca, luego los demás niños se pondrán en una sola fila sentados juntos y abrirán las piernas y se agarrarán de las cinturas	rekenpari westiora bake katowe atsa wai ibo iti, jainxon jatibi bakebo westiora joyobicho imaxon ashpatax kataxanani yakamaxon pitsomemawe
Extra_Educational 	los árboles	jiwibo
Extra_Educational 	ahora arranca el dibujo, selecciona los que se parecen y pégalos en los cuadrados	rama tsekawe ribojo ja jisabires peibo oinxon chitemeran taxnanwe
Extra_Educational 	qué debemos hacer para que no se acaben los árboles	jiwibo keyonaketianki non jawe atiki
Extra_Educational 	antes de realizar el trabajo sal al patio con los niños entregándole a cada uno un palito y diles que pinten el diseño de hueso en el suelo	bakebo tee peokanamabi jeman pikokinxon xepan menixon mainko tanakin jato xao kene axon
Extra_Educational 	canta con los niños la canción   los árboles se mueven   cantando y moviéndose	bakebo bewakinwe niibora shakotai jato bewanan shakokinwe
Extra_Educational 	marca los dibujos	ribojo ashtaawe
Extra_Educational 	después léeles a los niños cómo deben realizar la tarea siguiendo las pautas	japekao bakebo yoyo axonwe ja chibankin tee ati yoiya
Extra_Educational 	los alimentos que debemos conocer	jawekiatibo onanti
Extra_Educational 	para realizar este trabajo, pregúntales a los niños de esta manera, ustedes tienen abuelos, sus abuelos les han contado algunas de sus anécdotas haz que digan todo lo que sus abuelos les han contado	nato tee anonxon bakebo yokawe neskakin, matoki yosiyabo iki, maton yosibaonki mato winota iamax imaa yoiyai iki jaton yosin yoiyabo shinankinxon yoimawe
Extra_Educational 	haz el trabajo mirando los peces que están en el dibujo mirando los peces sin escama, recorta el papel y pégalo en su cuerpo, luego pinta los peces sin escama	yapabo ribojana oinxon tee awe yapa xakaoma oinxon jawen xaka axonwe kirika pei xatexon jawen yoranko taxnanwe, jainxon xakaoma yapa sikawe
Extra_Educational 	orientación para el profesor para realizar la tarea con los niños	axeamisnin bakebo betan jaskaaxon tee atibo yoiya
Extra_Educational 	amarra juntos los dos hilos	ja yoman ibekona bixon nexati
Extra_Educational 	la anciana explica a los niños cómo era el corte del cerquillo en la fiesta del ani xeati	yoxaman bakebo yoiyai ani xeati pishtaxon moatian bake ainbo jaskaakin bestepaokani
Extra_Educational 	escucha lo que dicen los niños	bakebaon shinanbo yoiyai ninkawe
Extra_Educational 	sabiendo ya cómo la ha explicado la mamá, recorta tus dibujos y pégalos en forma ordenada	titan yoiya shinanxon min ribojo xateabo jakon akin joyonkin taxnanwe
Extra_Educational 	siéntate con los niños y pone el dibujo del perro dentro de la canasta y luego pregúntales	bakebo yakakinxon ja sintan meran ochiti ribojana awe, jainxon jato yokawe
Extra_Educational 	ustedes van pegando los pedazos de dibujo donde corresponde	maton ja ribojobo ja yoi ikai pakex patax taxnanai
Extra_Educational 	enséñales a los niños las tres regiones que existen en nuestro perú	bakebo non perú onamawe kimisha mai ikainko noa jakanabo
Extra_Educational 	conversa con los niños sobre todo lo que van a hacer con el anciano	bakebo betan joibo shinanwe yosiba merati kaxon seneantibo
