Wixarika_Corpora 	 Muchacha de cabello largo	Uka maka t+t+ 
Mexican_constitution 	De los Derechos Humanos y sus Garantías 	Tewi Tinakemeki Muyeika Yuheimá Nunuwame Mexeiya 
Mexican_constitution 	Artículo 1º. 	‘Aritikuru 1º. 
Mexican_constitution 	En los Estados Unidos Mexicanos todas las personas gozarán de los derechos humanos reconocidos en esta Constitución y en los tratados internacionales de los que el Estado Mexicano sea parte, así como de las garantías para su protección, cuyo ejercicio no podrá restringirse ni suspenderse, salvo en los casos y bajo las condiciones que esta Constitución establece. 	Teiteri Mekikukiekatari yuheima nunuwame menexeiyani 'iki wimaritsie mayemie metá kiekari wapai mieme manutineika Mekiku miwarakawima, metá nunuwame maye'axeniki 'iki kapuyukwerieka metá kapuyukunaka xeikía 'iki wimari ke maineni. 
Mexican_constitution 	Las normas relativas a los derechos humanos se interpretarán de conformidad con esta Constitución y con los tratados internacionales de la materia favoreciendo en todo tiempo a las personas la protección más amplia. 	Teiteri wahetsie nunuwamete katineyuti'enietiyeikamiki 'iki wimaritsie ke mayetaine metá wanapai kiekatari, wawimaritsie mahekía waikawa tiwapitati yuheimá nunuwame. 
Mexican_constitution 	Todas las autoridades, en el ámbito de sus competencias, tienen la obligación de promover, respetar, proteger y garantizar los derechos humanos de conformidad con los principios de universalidad, interdependencia, indivisibilidad y progresividad. >En consecuencia, el Estado deberá prevenir, investigar, sancionar y reparar las violaciones a los derechos humanos, en los términos que establezca la ley. 	Yunaiti 'itsikate, yu'uximayatsikatsie mekanexeiyani memikuxatani, heimana meka'uyehuti metá mete'iwiyati metá metehaye'atiwati teiteri wahetsie nunuwamete 'iki naimetsie mitimiemeki xeime xeikía mikatipinieyaki, katiyutaraniati metá miyemieki, 'Ayumieme kiekari, kaniwarayehitiwamiki, tixeiyati, titirikariyati xika teiteri waheimá nunuwame nanaimarieka, wimari ke mitikuxata. 
Mexican_constitution 	Está prohibida la esclavitud en los Estados Unidos Mexicanos. >Los esclavos del extranjero que entren al territorio nacional alcanzarán, por este solo hecho, su libertad y la protección de las leyes. 	'Ena Mekiku kiekarieytasie kapiyiwe tewi nai tikunamiyarieti muyeikani, tekunamiyariekate wapai kiekatari xika Mekiku kwieyaritsie me'u'axiani miki menitixinikuni 'ena xika me'u'axiani metá leitexi waheimá kaninuakamiki. 
Mexican_constitution 	Queda prohibida toda discriminación motivada por origen étnico o nacional, el género, la edad, las discapacidades, la condición social, las condiciones de salud, la religión, las opiniones, las preferencias sexuales, el estado civil o cualquier otra que atente contra la dignidad humana y tenga por objeto anular o menoscabar los derechos y libertades de las personas. 	Naiti nanaimarika kaniyukunaka tita pemitihikiki tsepá kewa pemetinuiwaxi, 'awiyaritsie, metá titatsie pemikatiyiweni, tita pemirexeiyaki, kepemireu'erieki, titatsie pemitiuti'erie, ke pemitiku'eriwa, tita metinake, metá neikixatsie, ya tini titatsie tewi mitinanaimarieka kepauka wamireukaxirieka teiteri waheimá nunuwame. 
Mexican_constitution 	Artículo 2º. 	'Aritikuru 2º. 
Mexican_constitution 	La Nación Mexicana es única e indivisible. 	Mekiku kwieyari kaniyuxewini. 
Mexican_constitution 	La Nación tiene una composición pluricultural sustentada originalmente en sus pueblos indígenas que son aquellos que descienden de poblaciones que habitaban en el territorio actual del país al iniciarse la colonización y que conservan sus propias instituciones sociales, económicas, culturales y políticas, o parte de ellas. 	Mekiku kiekarieya kanayemiireni matiari kiekatari wahetsie ratiwiyati miki meniyiakaitini takwietsie mematekai haitiari teiwari mikatahawekaitsie, metá naime yukiekari `aixia mekateneukuxeiyani, metá ya paimeme. 
Mexican_constitution 	La conciencia de su identidad indígena deberá ser criterio fundamental para determinar a quiénes se aplican las disposiciones sobre pueblos indígenas. 	Mehayukumaiti kename teiteri mehiki mitikuxaxatsiwawahetsie mieme katinayeimiki. 
Mexican_constitution 	Son comunidades integrantes de un pueblo indígena, aquellas que formen una unidad social, económica y cultural, asentadas en un territorio y que reconocen autoridades propias de acuerdo con sus usos y costumbres. 	Teiteri menihikitini kehate memiyuwima yukiekaritsie metá yukiekaritsie kename mahatei mete`ikumamateketi `itsikate mewaruku`uitiatikani. 
Mexican_constitution 	El derecho de los pueblos indígenas a la libre determinación se ejercerá en un marco constitucional de autonomía que asegure la unidad nacional. 	Nunuwame teiteri wahetsie mitikuxata kepai mitiyianeniki wakiekaritsie miki katinayukanimiki wimari niukieya `enieti Mekiku `aixia mireuyukuwimaniki. 
Mexican_constitution 	El reconocimiento de los pueblos y comunidades indígenas se hará en las constituciones y leyes de las entidades federativas, las que deberán tomar en cuenta, además de los principios generales establecidos en los párrafos anteriores de este artículo, criterios etnolingüísticos y de asentamiento físico. 	Teiteri wakiekari kanimatiwakamiki ke mitiutaine yeiyaritsie metá ´etsitarute xapateya hepaitsita, miki naime tixeiyati tsiere hitia pai `aritikuru mitiyutixatsie `utaneeti, niukitsie mieme metá kiekaritsie mieme 
Mexican_constitution 	A. Esta Constitución reconoce y garantiza el derecho de los pueblos y las comunidades indígenas a la libre determinación y, en consecuencia, a la autonomía para: 	A. >‘Iki wimari teiteri metá wakiekarite heimá nunuwame kanimaiká metá yuxaitá miyukemaki: 
Mexican_constitution 	I. Decidir sus formas internas de convivencia y organización social, económica, política y cultural. 	I. Metá menimaiká kepai memitehuni yukiekaritsie mieme. 
Mexican_constitution 	II. Aplicar sus propios sistemas normativos en la regulación y solución de sus conflictos internos, sujetándose a los principios generales de esta Constitución, respetando las garantías individuales, los derechos humanos y, de manera relevante, la dignidad e integridad de las mujeres. 	II. Metá menimaiká kepai memitehuni xika yiki ti’aneti raniereni, wimaritsie mieme ‘utaneetikaimeki, nunuwamete teiteri wahetsie mieme mekananaimati, metá tsiere ‘ukari wahetsie nunuwamete yemeki mexeiyati. 
Mexican_constitution 	La ley establecerá los casos y procedimientos de validación por los jueces o tribunales correspondientes. 	Metá lei kanitayimiki tita yuri xanetsitiariwamete memitehanupini. 
Mexican_constitution 	III. Elegir de acuerdo con sus normas, procedimientos y prácticas tradicionales, a las autoridades o representantes para el ejercicio de sus formas propias de gobierno interno, garantizando que las mujeres y los hombres indígenas disfrutarán y ejercerán su derecho de votar y ser votados en condiciones de igualdad; así como a acceder y desempeñar los cargos públicos y de elección popular para los que hayan sido electos o designados, en un marco que respete el pacto federal y la soberanía de los estados. 	III. Meniyiweni teiteri yuyeiyaritsie me’utaneeti yu’itsikate memiwaranuyehapani meriki tsi ‘ukari metá ukitsi tinakemeki memanuyehapanieni menexeiyakamiki, metá meniyiweni memitehaye’atiani titaki memite’utihiawarie miirikia, metá mete’enieti Mekiku ke mitikuniuwa tsiere ‘etsitarutetsie. 
Mexican_constitution 	En ningún caso las prácticas comunitarias podrán limitar los derechos político electorales de los y las ciudadanas en la elección de sus autoridades municipales. 	Yukiekari hepaitsita nakeme miteuhú kapiyiwe mitiwakunamirieka nunuwamete hiawaritsie mieme yunaiti `ukari ‘ukitsi ‘itsikate wahiawaritsie munitsipiyu miemeki. 
Mexican_constitution 	IV. Preservar y enriquecer sus lenguas, conocimientos y todos los elementos que constituyan su cultura e identidad. 	IV. Tinaiti niukite, maiyate metá naiti tita teiteri mitiwarayeitiwa mateni’iwiyakakuni. 
Mexican_constitution 	V. Conservar y mejorar el hábitat y preservar la integridad de sus tierras en los términos establecidos en esta Constitución. 	V. 'Aixia ti'iwiyati kwiepa timieme metá 'aye'akame kunaati Mekiku kwieyaritsie wimari mikuxata. 
Mexican_constitution 	VI. Acceder, con respeto a las formas y modalidades de propiedad y tenencia de la tierra establecidas en esta Constitución y a las leyes de la materia, así como a los derechos adquiridos por terceros o por integrantes de la comunidad, al uso y disfrute preferente de los recursos naturales de los lugares que habitan y ocupan las comunidades, salvo aquellos que corresponden a las áreas estratégicas, en términos de esta Constitución. 	VI. Tinakemeke tixeiyati kwie miyukumanatsie katinikumayiamiki 'iki wimari mitikuxata pai, metá tsiere hipati lei mitikuxata pai, tsiere kiekatari wanunuwametetsie mieme, ya tini kiekaritsie tita mitixuawe tinakemeki katiniyukumauwamiki, xeikía tehayewati kewa wimari meikunaka. 
Mexican_constitution 	Para estos efectos las comunidades podrán asociarse en términos de ley. 	'Ipai miti'anenitsie kiekatari meniyiweni memiyuniini, ‘iki lei hetsie me'utaneti. 
Mexican_constitution 	VII. Elegir, en los municipios con población indígena, representantes ante los ayuntamientos. 	VII. Kiekatari yu'itsikate memiwarutihiawe kaniyiweni yumunitsipiyutsie. 
Mexican_constitution 	Las constituciones y leyes de las entidades federativas reconocerán y regularán estos derechos en los municipios, con el propósito de fortalecer la participación y representación política de conformidad con sus tradiciones y normas internas. 	Wimarite metá leitexi 'etsitarute miemetexi mepimaika munitsipiyutsie nunuwamete, kimana mekaniyuparewiekakuni yuyeiyaritsie mete'utanetiati. 
Mexican_constitution 	VIII. Acceder plenamente a la jurisdicción del Estado. >Para garantizar ese derecho, en todos los juicios y procedimientos en que sean parte, individual o colectivamente, se deberán tomar en cuenta sus costumbres y especificidades culturales respetando los preceptos de esta Constitución. 	VIII. 'Etsitaru mirexeiya tahetsie katinimiemetini, 'iki nunuwame miraye'atiwaniki, tinaiti xanetsikate kewa mayemie, xeimetsie timieme metá yumiireme, miki wayeiyaritsie kaniereti kani'anekamiki, katinanaimati wimaritsie mitika'uxa. 
Mexican_constitution 	Los indígenas tienen en todo tiempo el derecho a ser asistidos por intérpretes y defensores que tengan conocimiento de su lengua y cultura. 	Teiteri yuheimá nunuwame metá yuniukame mekanexeiyani wayeiyari tsiere waniuki maateti. 
Mexican_constitution 	Las constituciones y leyes de las entidades federativas establecerán las características de libre determinación y autonomía que mejor expresen las situaciones y aspiraciones de los pueblos indígenas en cada entidad, así como las normas para el reconocimiento de las comunidades indígenas como entidades de interés público. 	Wimarite metá leitexi 'etsitaru miemetexi miki mekateniyuriekuni kepai teiteri wakiekari miti'aneni 'etsitarutetsie, metá tsiere teiteri wakiekari ke maye'ane menimatekakuni 'aku tsi kename wakiekari tsiere hekía. 
Mexican_constitution 	B. La Federación, los Estados y los Municipios, para promover la igualdad de oportunidades de los indígenas y eliminar cualquier práctica discriminatoria, establecerán las instituciones y determinarán las políticas necesarias para garantizar la vigencia de los derechos de los indígenas y el desarrollo integral de sus pueblos y comunidades, las cuales deberán ser diseñadas y operadas conjuntamente con ellos. 	B. Mekiku, 'etsitarute metá munitsipiyute kiekariteya, menikuxatakuni kename teiteri yaxeikía tetehaye'axé metá nanaimarika metekunati, miki meniyiakakuni kepai hayetewime nunuwame miwa'iwiyani metá wakiekarite kepai mireuyukutuika, miki menitiwewikuni kimana yunaiti meniyekinikuni. 
Mexican_constitution 	Para abatir las carencias y rezagos que afectan a los pueblos y comunidades indígenas, dichas autoridades, tienen la obligación de: 	Teiteri yukiekaritsie memikate'uka'eniwaniki metá heitserie memiteheuxeiyani, 'itsikate 'ipai meni'anekakuni: 
Mexican_constitution 	I. Impulsar el desarrollo regional de las zonas indígenas con el propósito de fortalecer las economías locales y mejorar las condiciones de vida de sus pueblos, mediante acciones coordinadas entre los tres órdenes de gobierno, con la participación de las comunidades. 	I. Mekaniparewiyakakuni teiteri kwie keyeumetsie memukutetika wa'uximayatsika mayeniereniki metá 'aixia memiteheukuteniki, yunaiti 'itsikate memayehaika meyu'enieti, tsiere kiekatari meteparewieti. 
Mexican_constitution 	Las autoridades municipales determinarán equitativamente las asignaciones presupuestales que las comunidades administrarán directamente para fines específicos. 	'Itsikate munitsipiyu memaka'u metenitixeiyaxiakuni kepaimeti tumini wahetsie mikayune. 
Mexican_constitution 	II. Garantizar e incrementar los niveles de escolaridad, favoreciendo la educación bilingüe e intercultural, la alfabetización, la conclusión de la educación básica, la capacitación productiva y la educación media superior y superior. 	II. 'Ikitiarika kaniparewiyakamiki, huta niuki 'uweiyati metá teiwarixi tiwayeiyari tsiere teiteri tiwayeiyari tiuweiyati, 'utiarika kaniyu'ikitakamiki, 'Ikitiarika mukaheitia kananayenimiki, memitemaateniki metá, 'ikitiarika hixiapa mieme metá 'ikitiarika yetana mieme. 
Mexican_constitution 	Establecer un sistema de becas para los estudiantes indígenas en todos los niveles. 	Parewiya yetuayame kanetiwewiyamiki teiteri yu'ikitiwamete wahetsie mieme. 
Mexican_constitution 	Definir y desarrollar programas educativos de contenido regional que reconozcan la herencia cultural de sus pueblos, de acuerdo con las leyes de la materia y en consulta con las comunidades indígenas. 	Xapate kaniyutiwewimiki yukiekaritsie timieme raye'utikaime wayeiyaritsie tixeiyati teiteri hetsie 'utaneti metá kiekatari waku'iwawiyati. 
Mexican_constitution 	Impulsar el respeto y conocimiento de las diversas culturas existentes en la nación. 	Tsiere 'ikuxatati kename Mekiku kiekatari wayeiyari hayemiire memika'inanaimakaki. 
Mexican_constitution 	III. Asegurar el acceso efectivo a los servicios de salud mediante la ampliación de la cobertura del sistema nacional, aprovechando debidamente la medicina tradicional, así como apoyar la nutrición de los indígenas mediante programas de alimentación, en especial para la población infantil. 	III. Tinakemeki memi'uayemariekaki Mekiku 'uayemarika mexeiya hetsie mieme, tsiere teiteri wa'uayemarika hayexeiyati, teiteri memikahakaxietikaniki 'aixia mekateniparewiyakakuni, 'ikwaitetsie mieme yeme matsi tiirí wahetsie mieme mayaniki. 
Mexican_constitution 	IV. Mejorar las condiciones de las comunidades indígenas y de sus espacios para la convivencia y recreación, mediante acciones que faciliten el acceso al financiamiento público y privado para la construcción y mejoramiento de vivienda, así como ampliar la cobertura de los servicios sociales básicos. 	IV. Teiteri wakiekari 'aixia kaniti'itiariemiki metá kewa memeyutixexeiriwa metá kewa memetiwaiká meyu'enieti kewa matsi manakaneeni tumini kiekari tuminieyatsie ya xeime tuminieyatsie kimana kiite katinitiwewiyamiki ya 'aixia katiniti'itiariemiki, metá parewiya kanihekiakamiki. 
Mexican_constitution 	V. Propiciar la incorporación de las mujeres indígenas al desarrollo, mediante el apoyo a los proyectos productivos, la protección de su salud, el otorgamiento de estímulos para favorecer su educación y su participación en la toma de decisiones relacionadas con la vida comunitaria. 	V. Teiteri ‘ukari mekanipitiariekakuni memite’uximayaka, parewiyatsie timieme manakaneikaki, memikatekukuyeniki, metá tinaiti miranakaneika 'ikitiarikatsie timieme metá tiparewieka kiekaritsie timieme. 
Mexican_constitution 	VI. Extender la red de comunicaciones que permita la integración de las comunidades, mediante la construcción y ampliación de vías de comunicación y telecomunicación. 	VI. Kiekaritsie mieme niuki manutuaya kanayemiirekamiki, metá yuyemiiriyarimeti niukamete. 
Mexican_constitution 	Establecer condiciones para que los pueblos y las comunidades indígenas puedan adquirir, operar y administrar medios de comunicación, en los términos que las leyes de la materia determinen. 	Teiteri kiekatari meniyiweni yiki mana niukamete memikumauwani, kepai leitexi mitikuxatani ‘ikitsie timieme. 
Mexican_constitution 	VII. Apoyar las actividades productivas y el desarrollo sustentable de las comunidades indígenas mediante acciones que permitan alcanzar la suficiencia de sus ingresos económicos, la aplicación de estímulos para las inversiones públicas y privadas que propicien la creación de empleos, la incorporación de tecnologías para incrementar su propia capacidad productiva, así como para asegurar el acceso equitativo a los sistemas de abasto y comercialización. 	VII. Meniparewiyakakuni ‘uximayatsikatsie. >Yukiekari ‘aixia memiteukuhananiki, ‘uximayatsikateki tumini miireme memukaxexeiyaniki, metá memiparewiyakaki kiekari tuminieyaki ya xeime tuminieyaki memiteyu’uximatsitiakaki, metá makinate mepitiarieti tewa memiyuharerutaniki. 
Mexican_constitution 	VIII. Establecer políticas sociales para proteger a los migrantes de los pueblos indígenas, tanto en el territorio nacional como en el extranjero, mediante acciones para garantizar los derechos laborales de los jornaleros agrícolas; mejorar las condiciones de salud de las mujeres; apoyar con programas especiales de educación y nutrición a niños y jóvenes de familias migrantes; velar por el respeto de sus derechos humanos y promover la difusión de sus culturas. 	VIII. Kanitiwewiyakuni niuki teiteri wapai memu'uwa waheimá nunuwame, takiekaritsie metá wapaiti kiekari mitimanetsie, niuki katinaye'atiariwamiki mete'uximayatamete waheimá nunuwame miraye'atiariwaniki; metá 'ukari memikatekukuyeniki 'aixia mekateniparewiyakakuni; mateniparewiekakuni watiiriyama mateni’ikitiariekakuni 'ikitiarikatsie, metá 'aixia memite'ukwa'aniki; yuheimá nunuwame mirexeiya kani’iwiyariekamiki metá wayeiyari kuxatati. 
Mexican_constitution 	IX. Consultar a los pueblos indígenas en la elaboración del Plan Nacional de Desarrollo y de los estatales y municipales y, en su caso, incorporar las recomendaciones y propuestas que realicen. 	IX. Teiteri kepai Mekiku 'aixia mireuyukuhananiki mekaniti’iwawiyariekuni Plan Nacional de Desarrollo miyutawewieniki metá wa'etsitarute ya wamunitsipiyute, metá ke memiteku'eriwa metehanuyeniitiwati. 
Mexican_constitution 	Para garantizar el cumplimiento de las obligaciones señaladas en este apartado, la Cámara de Diputados del Congreso de la Unión, las legislaturas de las entidades federativas y los ayuntamientos, en el ámbito de sus respectivas competencias, establecerán las partidas específicas destinadas al cumplimiento de estas obligaciones en los presupuestos de egresos que aprueben, así como las formas y procedimientos para que las comunidades participen en el ejercicio y vigilancia de las mismas. 	Miraye’atiariwaniki ‘ena ke mayetaine, mirewatixeiritire miwima yaxeikía mirewatixaxatsitire 'etsitaru mieme kiekari tuminieya 'ikitsie mieme kiekari tuminieya manayeneikatsie metá kepai 'anemeki kiekaritsie muyenexiani tsiere ke miti'iwiyarieka. 
Mexican_constitution 	Sin perjuicio de los derechos aquí establecidos a favor de los indígenas, sus comunidades y pueblos, toda comunidad equiparable a aquéllos tendrá en lo conducente los mismos derechos tal y como lo establezca la ley. 	Teiteri tiwahetsie nunuwamete 'ena maka'uxa katinanaimarieti, wakiekaritetsie, metá kiekarite yaxeikía memiteuyuhana yaxeikía 'aneneme manexeiyatikani lei ke makataine. 
Mexican_constitution 	Artículo 3º. 	‘Aritikuru 3º. 
Mexican_constitution 	Todo individuo tiene derecho a recibir educación. >El Estado –Federación, Estados, Distrito Federal y Municipios–, impartirá educación preescolar, primaria, secundaria y media superior. 	Heitseriekame manexeiyani yunaiti teiteri memiteyu'ikitiakaki, -Mekiku kiekari, 'etsitarute metá munitsipiyu- meniyetuakuni tsutiana mieme, hixiapa mieme, hitiapai mieme, Tsutiana mieme kwinie raye'ati kani'aneni wamapeikahiaka. 
Mexican_constitution 	La educación preescolar, primaria y secundaria conforman la educación básica; ésta y la media superior serán obligatorias. 	'Iki metá hixiapa mieme yemeki kapeuyeweka. 
Mexican_constitution 	La educación que imparta el Estado tenderá a desarrollar armónicamente, todas las facultades del ser humano y fomentará en él, a la vez, el amor a la Patria, el respeto a los derechos humanos y la conciencia de la solidaridad internacional, en la independencia y en la justicia. 	Mekiku 'ikitiarika miyetua 'aixia 'iyari muyuyehanaki, naiti tita tewi mirexeiya yuhetsie mieme metá yukiekari meuyehiakaki, tewi heimá nunuwame mikatinanaimakaki, metá miyukihiaweniki kepauka parewiya kiekari humá pai mitimanetsie meuyeweka, kepauka minanaimarieka ke mireuyukuhanatsie. 
Mexican_constitution 	El Estado garantizará la calidad en la educación obligatoria de manera que los materiales y métodos educativos, la organización escolar, la infraestructura educativa y la idoneidad de los docentes y los directivos garanticen el máximo logro de aprendizaje de los educandos. 	'Etsitaru katinaye'atiwamiki 'ikitiarika 'aixia 'aneme yetuati, piini 'ikitiarika meturuyari metá 'ikitamete ke memiteuyukuhana, metá tita 'etsikwera mirexeiya tsiere te'ikitamete metá wa'ukiyarima heyemeki mekatenaye'atiwakuni: 
Mexican_constitution 	I. Garantizada por el artículo 24 la libertad de creencias, dicha educación será laica y, por tanto, se mantendrá por completo ajena a cualquier doctrina religiosa; 	I. 'Aritikuru 24 kanaineni tsepá titatsie pemitiuti'erie kaniyiweni, 'aimieme mikitsie timieme 'ikitiarikatsie kapanuyehakeni. 
Mexican_constitution 	II. El criterio que orientará a esa educación se basará en los resultados del progreso científico, luchará contra la ignorancia y sus efectos, las servidumbres, los fanatismos y los prejuicios. 	II. 'Iki 'ikitiarika waiká temaikate wawewiyatsie kaniereti, herie kaniwaranenetiwamiki memikananaimariekaki. 
Mexican_constitution 	Además: 	Tsiere: 
