Mexican_constituition 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	JA JASTAL WA STOJB’ESE´ JA POLITIKA B’A ESTADOS UNIDOS MEJIKANOSI 
Mexican_constituition 	Serán nulos todos los ingresos y promociones que no sean otorgados conforme a la ley. 	Ké nakíirame níima su’wába mo’wísila a’li ikíiriwala nápi ké nulérame jú nápi riká aní échi nulalí. 
Mexican_constituition 	Lo dispuesto en este párrafo no será aplicable a las Instituciones a las que se refiere la fracción VII de este artículo; 	Né a’lá je’ná párajo ké níima olásiwala échi istitusióni nápi riká aniwá jirasióni Vll j’ená artíkili; 
Mexican_constituition 	IV. Toda la educación que el Estado imparta será gratuita; 	IV. Suwába binelí mapu nijíliwa estáro ke natétika níima; 
Mexican_constituition 	V. Además de impartir la educación preescolar, primaria, secundaria y media superior, señaladas en el primer párrafo, el Estado promoverá y atenderá todos los tipos y modalidades educativos –incluyendo la educación inicial y a la educación superior– necesarios para el desarrollo de la nación, apoyará la investigación científica y tecnológica, y alentará el fortalecimiento y difusión de nuestra cultura; 	V. Aminá mapu riká ‘yáa échi benelí kíinti, pirimária, sikuntári a’li nasípa repabé, mapu uchárame jú échi bacháwala aníwala, Istári ko á nokéema a’li olásima pé su’wába kíta a’li kulíame benelíala - á síchoaka échi benelí chotáala a’li échi benelí repabéala- né walelí mapu kaenásibo echi’ná a’wiperéala, ku’wírima échi jiyétali sintíjiki a’li tinológiki, a’li mo’ibátima iwemachíala a’li chijánala échi kíta nawáala; 
Mexican_constituition 	VI. Los particulares podrán impartir educación en todos sus tipos y modalidades. 	VI. Mapu ké kobiérno níwala ‘á oméroma binería mapuriká abói binerína´lí. 
Mexican_constituition 	En los términos que establezca la ley, el Estado otorgará y retirará el reconocimiento de validez oficial a los estudios que se realicen en planteles particulares. 	Mapu ‘á aní nulalíwa´mi ‘échi estáro, ‘á nijíma a’lí kú emá chó oselí machiwáa´mi ‘échi mapu binériwa ke kobiérno ‘níwalachi sikuéla. 
Mexican_constituition 	En el caso de la educación preescolar, primaria, secundaria y normal, los particulares deberán: 	Mapu a’lí benériwa re’cholí, pirimaria, sikuntária, a’lí normáli a’lí ‘échi ke kobiérno níwala sikuéla ‘á nokiméa: 
Mexican_constituition 	a) Impartir la educación con apego a los mismos fines y criterios que establecen el segundo párrafo y la fracción II, así como cumplir los planes y programas a que se refiere la fracción III, y 	a) Y echiriká chó ‘á bineríma ‘á mapu riká aní okuaná rojanárami, a’lí osirúami okuaná, a’lí ‘échi riká chó ‘á noká mapu riká nulá poráma mapu riká weé nulá rojanára´mi bikíá, a’lí 
Mexican_constituition 	b) Obtener previamente, en cada caso, la autorización expresa del poder público, en los términos que establezca la ley; 	b) Bachá rikó ‘níwia, ibíli niráa karéwita´mi ra’íchalí, mapu ‘á nakiiwíta´mi jú mapu riká wéala jáwa´mi, mapuriká aní nulalíwa´mi; 
Mexican_constituition 	VII. Las universidades y las demás instituciones de educación superior a las que la ley otorgue autonomía, tendrán la facultad y la responsabilidad de gobernarse a sí mismas; realizarán sus fines de educar, investigar y difundir la cultura de acuerdo con los principios de este artículo, respetando la libertad de cátedra e investigación y de libre examen y discusión de las ideas; determinarán sus planes y programas; fijarán los términos de ingreso, promoción y permanencia de su personal académico; y administrarán su patrimonio. 	VII. Echimí uniberisirá a’li jaréchi istisyóni benelí repabéala mapu échi nulalí animéa binóisiala, á níilima échi nulalí a’li échi nóochali silíikiame abói nirá; á newásima kípu sébali benérila, jiyétika a’li chijánia kípu nawá á e’nátika cho bacháwala je’ná artíkuli, á riwíika cho bi’nóila benériame a’li jiyétala a’li né bi’nówila isámeni a’li najóorali cho échi ‘nátali; á uchásima kípu olásiwala a’li nokiwáala; á machísima cho chú riká mo’ísimi, ikíiruala a’li sinibí muchíala échi kípu benéame, a’li á ka’lá e’nésima kípu “kie’weníwala - patrimonio”. 
Mexican_constituition 	Las relaciones laborales, tanto del personal académico como del administrativo, se normarán por el apartado A del artículo 123 de esta Constitución, en los términos y con las modalidades que establezca la Ley Federal del Trabajo conforme a las características propias de un trabajo especial, de manera que concuerden con la autonomía, la libertad de cátedra e investigación y los fines de las instituciones a que esta fracción se refiere; 	Échi napawíka noocháala, échi mapu benéame jú a’li échi e’nésiame cho, á nulárima échi rojaná A artíkuli 123 je’ná kostitusyóni, á sebárika cho a’li mapu riká níisa re sinibísi échi nulalí jereráli nóochali á katúaka abói si’wináwala nóochala né a’láwala, nóli né anárika nirá échi bi’nóisiala, échi bi’nóila benériame a’li jiyétala a’li échi kuwaní istitusyóni nirá mapu riká aní je’ná rojanásila; 
Mexican_constituition 	VIII. El Congreso de la Unión, con el fin de unificar y coordinar la educación en toda la República, expedirá las leyes necesarias, destinadas a distribuir la función social educativa entre la Federación, los Estados y los Municipios, a fijar las aportaciones económicas correspondientes a ese servicio público y a señalar las sanciones aplicables a los funcionarios que no cumplan o no hagan cumplir las disposiciones relativas, lo mismo que a todos aquellos que las infrinjan, y 	VIII. Échi konkirési napawítuala, mapu riká napawítuka a’li nulásipa échi benelí o’mána kawí mésiko, julásima échi nulalí né walelí, echimí nirá á chijanárame mapu isíima benelíwala napawítula echimí jererasyóni, échi Istáros a’li Munisípi, mapu e’nésima échi nijíala wenomí echimíwala a’li échi nikúrali o’máwala a’li ayéna cho animea échi rikíruala né olásiwala échi nóochame mapu ké sebári ayéna cho mapu ké sebárika noká échi anerúame, á chiriká cho su’wába échi jaré mapu chakénua, a’li 
Mexican_constituition 	IX. Para garantizar la prestación de servicios educativos de calidad, se crea el Sistema Nacional de Evaluación Educativa. 	IX. Mápu galáruma échi nikúrula benelí nocháala né ga’labéala, á kaenália Sitéma Nasonáli Benelí E’nelíwala. 
Mexican_constituition 	La coordinación de dicho sistema estará a cargo del Instituto Nacional para la Evaluación de la Educación. 	Échi korinasióni anirúame sitéma ‘á asiméa nulalíala Instituto Nasonáli Benelí E’nelíwala. 
Mexican_constituition 	El Instituto Nacional para la Evaluación de la Educación será un organismo público autónomo, con personalidad jurídica y patrimonio propio. 	Échi Istituto Nasonáli Benelí E’nelíwala á niíma bilé napawítukame púbiliki né bi’nówala, á muchúwaga jurírika a’li abói anayániwala. 
Mexican_constituition 	Corresponderá al Instituto evaluar la calidad, el desempeño y resultados del sistema educativo nacional en la educación preescolar, primaria, secundaria y media superior. 	Á olásima échi Istituto e’nésia né ga’láwala, échi nijíwala a’li machiráwala sitéma benelíwala nasonáli échi kúuchi benelí, pirimári, sikuntári a’li nasípa repabéwala. 
Mexican_constituition 	Para ello deberá: 	Échi kíte á niíma: 
Mexican_constituition 	a) Diseñar y realizar las mediciones que correspondan a componentes, procesos o resultados del sistema; 	a) Newalíame a’li olalíwame échi tétila nápi níwisimi échi namútiwala, kilímala ayéna cho machiráwala échi sitéma; 
Mexican_constituition 	b) Expedir los lineamientos a los que se sujetarán las autoridades educativas federal y locales para llevar a cabo las funciones de evaluación que les corresponden, y 	b) Náulama échi baweráala nápi á chéwama échi iséligame benériame jereráli a’li chimíwala nápi toméa échi olalíwala pé e’nelíwame nápi échi níwisimi, a’li 
Mexican_constituition 	c) Generar y difundir información y, con base en ésta, emitir directrices que sean relevantes para contribuir a las decisiones tendientes a mejorar la calidad de la educación y su equidad, como factor esencial en la búsqueda de la igualdad social. 	c) Wi’libériwame a’li chijanáliame ikiíriwala a’li, né re’léwaga je’ná, nakíiliame nuláame nápi niima anáriwala rojanáala échi aniwáala uchalí nápi ga’lárima échi ga’labéala benelí a’li kípu anáriwala, nápi rigá bacháwala ‘yamí anári napawítola. 
Mexican_constituition 	La Junta de Gobierno será el órgano de dirección del Instituto y estará compuesta por cinco integrantes. 	Echi Iséligame Napawíala á niima échi síchoala riresióni pé Istituto a’li pé malí síchokame niima síchoala. 
Mexican_constituition 	El Ejecutivo Federal someterá una terna a consideración de la Cámara de Senadores, la cual, con previa comparecencia de las personas propuestas, designará al integrante que deba cubrir la vacante. 	Échi Isélwala Jereráli á nijiúroma bikyáwala e’nériwala chimí Kámara Sinaróri, nóli pé, á ikiíriga échi pagótame aníala, á nulésima échi síchiame nápi olása re échi bakánti kíte. 
Mexican_constituition 	La designación se hará por el voto de las dos terceras partes de los integrantes de la Cámara de Senadores presentes o, durante los recesos de esta, de la Comisión Permanente, dentro del improrrogable plazo de treinta días. >Si la Cámara de Senadores no resolviere dentro de dicho plazo, ocupará el cargo de integrante de la Junta de Gobierno aquel que, dentro de dicha terna, designe el Ejecutivo Federal. 	Échi welalíala á oláma botárika pé okwá bikyáwala rojaáme échi síchiame chimí Kámara Sinarórachi muchúwachi ayéna cho, nápi a’lii pé téli welábi je’ná, komisióni sinibíwala, chimí nasípala náriwala tétale basiá makói rawé. ‘líi échi Kámara sinaróri ké katéwasa chimí aniwá tétale, á cha’píima nulalí síchoame napawíkila Isélwala échi nápi, chimí bikyáwala aniwá, cha’pisí échi Isélwala Jereráli. 
Mexican_constituition 	En caso de que la Cámara de Senadores rechace la totalidad de la terna propuesta, el Ejecutivo Federal someterá una nueva, en los términos del párrafo anterior. 	Siné kaáchi échi Kámara Sinaróri níwala chijunása né su’wába échi bikyáwala aniwáala, échi Isélwala Jereráli á nijiuroma bilécho kulíame, échi táwala párajo bacháwala. 
Mexican_constituition 	Si esta segunda terna fuera rechazada, ocupará el cargo la persona que dentro de dicha terna designe el Ejecutivo Federal. 	Chí ré Je’ná okwá bikyáwala á chijúnitame niísa, á asibáma nuláame échi e’teó nápi chimí aniwá bikyáwala á cha’písima Isélwala Jereráli. 
Mexican_constituition 	Los integrantes de la Junta de Gobierno deberán ser personas con capacidad y experiencia en las materias de la competencia del Instituto y cumplir los requisitos que establezca la ley, desempeñarán su encargo por períodos de siete años en forma escalonada y podrán ser reelectos por una sola ocasión. 	Échi síchoame chimí napawíkiala Isélwala á niisa re e’teówala né machíame a’li benemáchiame échi matéri je’ná Istituto saeráwala a’li sebáriwame échi taníwala nápi welá échi nulalí, á muchuwásima kípu taníwala pé sebáriga kicháo bamí né téala nirá a’li á oméru ché sinépi cha’pirúame niilia. 
Mexican_constituition 	Los integrantes no podrán durar en su encargo más de catorce años. 	Échi síchoame ké oméro anácha kípu nulalíwala á simírega makói naó bamí. 
Mexican_constituition 	En caso de falta absoluta de alguno de ellos, el sustituto será nombrado para concluir el periodo respectivo. 	Siné káachi omáruame ké itélisa bilé rikámiti, nápi pichí asibáma welárame niisa re nápi sebárima échi kilípuala noocháala. 
