Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	NDÄTHOT’I, HÑÄSÜMP O TE X E NI HNINI G A THO M’OND A 
Mexican_constitution 	d) Será de calidad, con base en el mejoramiento constante y el máximo logro académico de los educandos; 	d) Xi dra za̱, m̱u xta nte dra mpädi di ge ra nxa̱di ne da nte hyaxm̱u. 
Mexican_constitution 	III. Para dar pleno cumplimiento a lo dispuesto en el segundo párrafo y en la fracción II, el Ejecutivo Federal determinará los planes y programas de estudio de la educación preescolar, primaria, secundaria y normal para toda la República. 	III. Pa da hoki ge xa mä ra ñoho nthe hñä ne ra heke II, ra Ta ts’̱utbi nga̱tho ya hnini da mä ha da nja ra nxa̱di di ge ra m̱udi nxa̱di, yoho nxa̱di, hñu ne dangi nxa̱di pa nga̱tho ra X̱eni Hnini M’onda̱. 
Mexican_constitution 	Para tales efectos, el Ejecutivo Federal considerará la opinión de los gobiernos de los Estados y del Distrito Federal, así como de los diversos sectores sociales involucrados en la educación, los maestros y los padres de familia en los términos que la ley señale. 	Konge ñ’ä, ra Ta ts’̱utbi nga̱tho ya hnini da ‘y̱ots’̱e te me ä mbeni ya hñänsu di ge ya X̱eni hnini ne ra M’onda̱ ne̱u mp̱efi po ra nxa̱di, ya xa̱mpate ne ya ta ra mengu, ngu mä ra hmända. 
Mexican_constitution 	Adicionalmente, el ingreso al servicio docente y la promoción a cargos con funciones de dirección o de supervisión en la educación básica y media superior que imparta el Estado, se llevarán a cabo mediante concursos de oposición que garanticen la idoneidad de los conocimientos y capacidades que correspondan. >La ley reglamentaria fijará los criterios, los términos y condiciones de la evaluación obligatoria para el ingreso, la promoción, el reconocimiento y la permanencia en el servicio profesional con pleno respeto a los derechos constitucionales de los trabajadores de la educación. 	Pa da mp̱efi di ge ya xa̱mpate da nṯungi ra yä m’̱efi pa to handi te p̱efi ya xa̱mpate ua to handi te p̱efi ya nguu nxa̱di di ge ka ra m̱udi nxa̱di ne dängi nxa̱di di ge da t’uni ra X̱eni hnini, da thoki n’a ra ñẖeki pa da ṉ̃ut’i ̱u to pädi xangu ne da hogi ra nxa̱ Ra hmända xa nthuts’i da mä ha da nja, ha dumbi, pa da ṉ̃ut’i, pa da nṯungi, pa da fädi, da mp̱efi nga̱tho ya pa ge da thoki ge te me ä mä ra Ndä Thot’i ne pa da nthandi te me ä p̱etsi ya xa̱mpate. >Hinda ṉ̃ut’i nga̱tho ̱u hinda hyoki te m̱e ä mä ra hmända. 
Mexican_constitution 	Serán nulos todos los ingresos y promociones que no sean otorgados conforme a la ley. 	Ge te me ä mä di ge n’a nthe hñä hinda ra ngutho pa nga̱tho ya nguu nxa̱di. 
Mexican_constitution 	Lo dispuesto en este párrafo no será aplicable a las Instituciones a las que se refiere la fracción VII de este artículo; 	Konge hn’a, ngu mä ra heke hinda ra ngutho konge nga̱tho m’a ra ya ngunxa̱di ge mä ra nthe hñä VIII di ge hn’a ra x̱eni. 
Mexican_constitution 	IV. Toda la educación que el Estado imparta será gratuita; 	IV. Gotho ra nxadi t’üti ka ra xeni hnini M’onda ge hinda jüt’i; 
Mexican_constitution 	V. Además de impartir la educación preescolar, primaria, secundaria y media superior, señaladas en el primer párrafo, el Estado promoverá y atenderá todos los tipos y modalidades educativos –incluyendo la educación inicial y a la educación superior– necesarios para el desarrollo de la nación, apoyará la investigación científica y tecnológica, y alentará el fortalecimiento y difusión de nuestra cultura; 	V. Ne uni ra nxa̱di ka m̱udi nxa̱di, yoho nxa̱di, hñu nxa̱di ne dangi nxa̱di, di ge te me ä xa mä ra n’a nthe hñä, ra X̱eni hnini da uni ne da mfa̱ts’i di ge ñ’̱u ma ra ya mfädi ra nxa̱di -ne ra m̱udi nxa̱di ne ra ya ta ngunxa̱di– ne da mfa̱ts’i ra pädi nxadi negi hñä nu ä xa thoki ne ra pädi nxa̱di ne da nthüdi di ge ja ra m’̱edi pa da nte nga̱tho ya hnini yä m’̱u 
Mexican_constitution 	VI. Los particulares podrán impartir educación en todos sus tipos y modalidades. 	VI. Ya ngu nxadi ra se da üni ra xadi gotho u ja ra nxadi. 
Mexican_constitution 	En los términos que establezca la ley, el Estado otorgará y retirará el reconocimiento de validez oficial a los estudios que se realicen en planteles particulares. 	Nguja ä juxka ra hmända, nu ra xeni M’nda dä hoki ne da üni ra nfädi ra ntsedi majuani un ya nxadi nu u xa hoki ya ngu nxadi r a se. 
Mexican_constitution 	En el caso de la educación preescolar, primaria, secundaria y normal, los particulares deberán: 	Nu ngu ra nxadi ndui; n’a nxadi, yoho nxadi ne tsotse nxadi nu ya ngu nxadi rase ge dä: 
Mexican_constitution 	a) Impartir la educación con apego a los mismos fines y criterios que establecen el segundo párrafo y la fracción II, así como cumplir los planes y programas a que se refiere la fracción III, y 	a) Da üni ra nxadi ngujä ä hutsi ne m’aä ra yoho heke ne made II, ge dä njäpu pa da tsotse ra za nu u ma hadanja di thoki ra nxadi ge m’aä njapu ra made III, ne 
Mexican_constitution 	b) Obtener previamente, en cada caso, la autorización expresa del poder público, en los términos que establezca la ley; 	b) Da thüni, metho, ndä u, da thogi m’aä ra mü ngotho, nu ä ri gätsi m’aä ra hmända. 
Mexican_constitution 	VII. Las universidades y las demás instituciones de educación superior a las que la ley otorgue autonomía, tendrán la facultad y la responsabilidad de gobernarse a sí mismas; realizarán sus fines de educar, investigar y difundir la cultura de acuerdo con los principios de este artículo, respetando la libertad de cátedra e investigación y de libre examen y discusión de las ideas; determinarán sus planes y programas; fijarán los términos de ingreso, promoción y permanencia de su personal académico; y administrarán su patrimonio. 	VII. Ya ta ngunxa̱di ne ma ra ya ta ngunxa̱di ge xa mä ra hmända hmända da uni ra ts’̱edi, tsa̱ da hyoki ne ko ra ts̱edi nu’ä da manda di g̱ens̱e’̱u; pa da üti; da hyoki ha da japi ra nxa̱di, da hyoni ra mfädi ne da mä nga̱tho ̱u te me ä p̱efi ka ya hnini ngu mä ra x̱eni n’a, pa ge ya ta ngunxa̱di tsa̱ da hyoki nga̱tho ̱u da ne, da hyoki m̱efi nt’a̱ni ra mfädi ne da hñäki nu’ä pädi ne ra mbeni; da hyoki ha da japi ne ha da nja ra m’̱efi; da mä ha da nja ra ṉ̃ut’i pa ra nxa̱di, da ñäki ne pa ya m’̱efi mp̱efi hyax̱um̱u. 
Mexican_constitution 	Las relaciones laborales, tanto del personal académico como del administrativo, se normarán por el apartado A del artículo 123 de esta Constitución, en los términos y con las modalidades que establezca la Ley Federal del Trabajo conforme a las características propias de un trabajo especial, de manera que concuerden con la autonomía, la libertad de cátedra e investigación y los fines de las instituciones a que esta fracción se refiere; 	Pa ya mp̱efi di ge ra m̱efi, m’̱u ja ra ngunxa̱di ne ya ngunza̱yo, da thoki konge ra n’a mp’̱u A di ge ra the hñä 123 di ge n’a ra Ndä Thot’i, konge mä ne heke ra Hmända ta nza̱yo ra m̱efi nu’ä ha da japi n’a m̱efi xa za̱, pa da hoki nga̱tho te m̱e’ä mp̱efi ne nga̱tho ̱u da ne di ge ya ta ngunxa̱di nu’ä mä ra heke n’a. 
Mexican_constitution 	VIII. El Congreso de la Unión, con el fin de unificar y coordinar la educación en toda la República, expedirá las leyes necesarias, destinadas a distribuir la función social educativa entre la Federación, los Estados y los Municipios, a fijar las aportaciones económicas correspondientes a ese servicio público y a señalar las sanciones aplicables a los funcionarios que no cumplan o no hagan cumplir las disposiciones relativas, lo mismo que a todos aquellos que las infrinjan, y 	VIII. Ra Hmunts’i ñä pa ra hnini, pa ya hmunts’i ne ya zits’i nxa̱di nga̱tho ra X̱eni Hnini M’onda̱, da hyoki n’a nthuts’i konge ya hmända ̱u ja ra m’̱edi pa ge da t’uni ra nxa̱di di ge ra Nga̱tho ts’̱utbi, ya X̱eni hnini ne ya Ta hnini, pa ge da mbeni tengu ra bojä da t’uni ra hnini ne da mä pa di ts’̱utbi, da t’uni ya hñänsu m̱u hinda hyoki te m̱e mä ra hmända, genda ä pa nga̱tho ma ra ̱u hinda hyoki. 
Mexican_constitution 	IX. Para garantizar la prestación de servicios educativos de calidad, se crea el Sistema Nacional de Evaluación Educativa. 	IX. Ge pa xi di t´üni n´a ra nhio nxa̱di, ge ka xkä xogi ra nguu nxa̱di ha thogi ya m´̱efi ra Sistema Nacional de Evaluación Educativa. 
Mexican_constitution 	La coordinación de dicho sistema estará a cargo del Instituto Nacional para la Evaluación de la Educación. 	Nuna ra nguu nxa̱di nuna ge xi di nu ra ndä nza̱ Instituto Nacional para la Evaluación de la Educación. 
Mexican_constitution 	El Instituto Nacional para la Evaluación de la Educación será un organismo público autónomo, con personalidad jurídica y patrimonio propio. >Corresponderá al Instituto evaluar la calidad, el desempeño y resultados del sistema educativo nacional en la educación preescolar, primaria, secundaria y media superior. 	Ge xi häs̱e ra nhio ra nzaki ngu gä nza̱ya, xi p̱etsi ra ts̱edi gä hoki nts̱utbi pa to nga̱tho, ge mp̱ote nza̱yaui ra Instituto evaluación la calidad, pa di hoki ra mhio ra m´̱efi nxa̱di pa nga̱tho M´onda̱ ka ya nguu Nza̱ya Preescolar, Primaria Secuendaria ne, media superior. 
Mexican_constitution 	Para ello deberá: 	Nuy̱u ge xi di hoki nuya: 
Mexican_constitution 	a) Diseñar y realizar las mediciones que correspondan a componentes, procesos o resultados del sistema; 	a) Di hoki pa di thoki ha di njapi ya nu ̱u rangutho gä hiehui, pa ha di ẕots̱e di nfädi ya m´̱efi xa thoki di ge ra nxa̱di; 
Mexican_constitution 	b) Expedir los lineamientos a los que se sujetarán las autoridades educativas federal y locales para llevar a cabo las funciones de evaluación que les corresponden, y 	b) Di nj̱uki ra ẖem´i pa ha di hoki ya m´̱efi ya nza̱ya pa ra xa̱di nga̱tho ka ra ha̱i M´onda̱, ka ya x̱eni pa di hoki ra m´̱efi evaluación ä ja ra m´̱efi pa di hoki nuä njap̱u ngu rangutho, ne 
Mexican_constitution 	c) Generar y difundir información y, con base en ésta, emitir directrices que sean relevantes para contribuir a las decisiones tendientes a mejorar la calidad de la educación y su equidad, como factor esencial en la búsqueda de la igualdad social. 	c) T´üdi ne di nj̱uki ya hnä ne, ge kongehia, di thoki ha di njapi pa di thoki ra nhio ya hmä pa te di thoki ra nhio m´̱efi, pa di ranguntho te thoki ka ya hnini. 
Mexican_constitution 	El Ejecutivo Federal someterá una terna a consideración de la Cámara de Senadores, la cual, con previa comparecencia de las personas propuestas, designará al integrante que deba cubrir la vacante. >La designación se hará por el voto de las dos terceras partes de los integrantes de la Cámara de Senadores presentes o, durante los recesos de esta, de la Comisión Permanente, dentro del improrrogable plazo de treinta días. 	Pa di hmuntsi di hoki ra m´̱efi ra ndä nza̱ya mengu M´onda̱ ge di thoki ka ra nguu nza̱ya Instituto ge xi di m´̱ui ḵut´a ya mp̱ote nza̱ya ka ra Ejecutivo nga̱tho M´onda̱ nuna ge di bädi ne di mä ka ra Camara hñä pa ya hnini pa to ä di nza̱ya, pa di thäki, ne pa di bädi ne ya jäi to t´̱etsi, ge di ñ´̱etsi ya jäi m´̱efi ka ra Camara hñä pa ya jäi ̱u to hä ra nza̱ya ne ua, nu ya pa di nja ra t´̱etsi nza̱ya, di hiandi pa ha hinte di nja ra ñäte pa ma ra ya jäi di ge ya pa n´ote ma ret´ä nj´eya di ge ya pa xa ts̱eki ra ñ´̱etsi nza̱ya ya hmuntsi nza̱ya nga̱tho M´onda̱ ge xi di, nu ya to xa t´̱etsi, pa di mä ge geṉu di nza̱ya. 
Mexican_constitution 	En caso de que la Cámara de Senadores rechace la totalidad de la terna propuesta, el Ejecutivo Federal someterá una nueva, en los términos del párrafo anterior. >Si esta segunda terna fuera rechazada, ocupará el cargo la persona que dentro de dicha terna designe el Ejecutivo Federal. 	Ha mum̱u ra nza̱ya Camara hñä pa ya jäi hindä ne dä ñ´̱etsi pa di nza̱ya ya jäi xa thäki ne ge xi ra ts̱edi tsa̱ di ñ´̱etsi ma ra ya jäi pa do mp̱ote nza̱ya, ngu xa thutsi ka ra m´̱etho the, ha num̱u hindi nhe di t´̱e nuy̱u pa di nza̱ya, nuä di ñ´̱etsi ra ndä nza̱ya Ejecutivo nga̱tho M´onda̱. 
Mexican_constitution 	Los integrantes de la Junta de Gobierno deberán ser personas con capacidad y experiencia en las materias de la competencia del Instituto y cumplir los requisitos que establezca la ley, desempeñarán su encargo por períodos de siete años en forma escalonada y podrán ser reelectos por una sola ocasión. 	Ya mp̱ote Ndä Nza̱ya ge xi di pädi pa di hoki ra nhio ra m´̱efi ne xi di da̱ ya ẖem´i di t´a̱pi ngu xa thutsi ka ra hmända, ne ge xi di nza̱ya yoto nj´̱eya ne hindi tsa̱ pa di yopi di nza̱ya mara ya j ´ eya, ya mp̱ote nza̱ya ge hinda za̱ pa di nza̱ya ṟeta ma goho nj´̱eya. 
Mexican_constitution 	Los integrantes no podrán durar en su encargo más de catorce años. >En caso de falta absoluta de alguno de ellos, el sustituto será nombrado para concluir el periodo respectivo. 	Ha num̱u di m´̱edi n´a digeṉu, ra Ndä Nguu Nza̱ya ge xi tsa̱ pa di hioni ä di mp̱ote digeny̱u pa di gätsi ra m´̱efi nza̱ya. 
Mexican_constitution 	Sólo podrán ser removidos por causa grave en los términos del Título IV de esta Constitución y no podrán tener ningún otro empleo, cargo o comisión, con excepción de aquéllos en que actúen en representación del Instituto y de los no remunerados en actividades docentes, científicas, culturales o de beneficencia. 	Ha ge num̱u ngu te di ja ge xi ra nhio di mpodi ngu ra thutsi ka ra thuhu IV di gen´ä ra thuhu ne hindi mp̱efi ma n´a ra m´̱efi, ne ua ha di mp̱ote n´a m´̱efi nup̱u ka ya hnini, pege ha num̱u dar mp̱ote nza̱ya ka ra Ndä nza̱ya Instituto ne nu̱u hingi njut´i ra bojä di ge ya m´̱efi ̱u te hoki ngu ya xa̱mpate, xi pätho ra nfädi m´̱ui ne ua konge ma ra te t´ähä. 
Mexican_constitution 	La Junta de Gobierno de manera colegiada nombrará a quien la presida, con voto mayoritario de tres de sus integrantes quien desempeñará dicho cargo por el tiempo que establezca la ley. 	Ra Hmuntsi Ndä Nza̱ya dä nu to di m´̱eni pa di hoki ra m´̱efi hmuntsi, nuä xa t´äki konge xa ndähä xangu ya m´̱ede di ge ya hñu nza̱ya ̱u ya mp̱ote nza̱ya di ge ya pa xä hmä ngu xa thutsi ka ra hmända. 
Mexican_constitution 	La ley establecerá las reglas para la organización y funcionamiento del Instituto, el cual regirá sus actividades con apego a los principios de independencia, transparencia, objetividad, pertinencia, diversidad e inclusión. 	Ka ra hmända ge xi xa thutsi ha di njapi pa di thoki ra m´̱efi ka ra Instituto, ge xi di hoki ra nhio ra m´̱efi ngu hmä ne xi di hñänsüs̱e, xi di thändi ra nhio ya m´̱efi di thoki, xi där za̱, ra m´̱efis̱e, pa nga̱tho ya jäi ne pa di y̱ut´i. 
Mexican_constitution 	La ley establecerá los mecanismos y acciones necesarios que permitan al Instituto y a las autoridades educativas federal y locales una eficaz colaboración y coordinación para el mejor cumplimiento de sus respectivas funciones. 	Ra hmända da mä ha da nja te me ä da hyoki pa ge ra nguu ge pädi ne ra noho nza̱yo ra nxa̱di ne ra cẖulo nza̱yo ra nxa̱di da hyoki n’a ra m’̱efi xa za̱ ne tat’a n’a da hyoki te m̱e ä t’uni. 
Mexican_constitution 	Artículo 4º. 	Xeni Goho 4o. 
Mexican_constitution 	El varón y la mujer son iguales ante la ley. 	Ra ñ’oho ne ra behñä rangutho di ge ra hmända. 
Mexican_constitution 	Esta protegerá la organización y el desarrollo de la familia. 	Nuna mädi ra mutsi ne ra te nuya mengu. 
Mexican_constitution 	Toda persona tiene derecho a decidir de manera libre, responsable e informada sobre el número y el espaciamiento de sus hijos. 	Gotho ya jäi ge petsi da thegi da manse, ra tsedi da mede ne kongotho ya bätsi. 
