ShaShiYaYi 	¿Por qué sigue el sufrimiento en nuestro pueblo?	¿Paita abisatsine anampiki eirorika atijayetajitsi?
ShaShiYaYi 	Una sola congregación se reunió para oír a dos de sus hijos pequeños y grandes ”.	Aparoni kenketsatantsi apatota ontime, ariorika apite teerika osheki kenketsatantsi orijanitsari, apatotanaka aparoniki kenketsatantsi antyarotsari
ShaShiYaYi 	– Realizar extensiones diplomáticas	Antayetero ainijantyarori ayotakeri
ShaShiYaYi 	Verde en el cerro, muchos cayeron en la soberanía nacional,	Añayetake meka osheki opomerentsiyetanaka anampipeki te okempetajiaji perani
ShaShiYaYi 	Pero allí se habían pintado, no se encuentra el río abajo.	Irompa meka ipotsoyetaro eiro itantaritsi katsirinkaiteri
ShaShiYaYi 	El grillo que lo sigue es un disidente enfermo de fiebre, él tiene la potestad de decir que vive en la tierra y en la población de la tierra	Ora osankenata oijatirori irointi ijantareirori inkarankitiri añaanetakeri osankenata, iro kantaincha oñaanetakotiro teerika okoasanotari
ShaShiYaYi 	Promueve el uso de la anaconda.	Onijaantiro ora okobakantiri ashi sankenatainchari
ShaShiYaYi 	Pero hay algunos que son falsos hermanos, y otros que dicen cosas sin sentido, que engañan a la gente.	Aparopeeni itimajeiti kameechaji; itsipapee, ikantakoyetashiyetari ikantani irisati
ShaShiYaYi 	Faculta a realizar tareas de control remoto, en la época de la preparación de la información fidedigna, a fin de facilitar la información solicitada y facilitarla.	Ipayetiro ora kamantakorentsi aririka abaayetero kamantantsi amenaperotan-tyarori konijatatsiri tsiparentsi okaratiri kamantantsi aisati konijatatsiri (okantakoteri)
ShaShiYaYi 	Él pastoreó a la joven nodriza durante meses y meses	Isankenayetantaro orijanikiri intyari ora obajiro tsonkitaiteri, kashiripee jero kashiritakoripee ashi osarentsi
ShaShiYaYi 	Tú vas a entrar en tu reino	Pisankenayetero pibaperiteki
ShaShiYaYi 	Uno es el que fabrica estos símbolos propios del paisano, el otro el que fabrica la imagen de aquel pueblo, y el otro el que lo fabrica.	Atsipariabakaya antayeteri: anterone itsapayetari aisati ipotsoyetari iboroki ashaninka, pashini amenakoterone maroni tijayetachari ampejiki aisati pashini amenakoterone amatsairentsi
ShaShiYaYi 	Mamá tee, iba con la cabeza inclinada.	Aana tee oyaaji tampatika
ShaShiYaYi 	La comunidad constituye un pueblo	Meeka akibantero ora nampitsi
ShaShiYaYi 	El Hijo del Hombre es el pastor de las ovejas.	Ora kenketsatantsipee abisatsiri irointi kenketsatantsipee antaantsipee abisatsiri jero tsipatarori kantakotirori
ShaShiYaYi 	Estoy acompañado en mi banco.	Notsipayetari nosabiki nobankoki
ShaShiYaYi 	[La gente] que llegaba al pueblo tardaba en llegar]	Yora atiripee yareejeitaka osamaniji oshaabini
ShaShiYaYi 	Te diré con qué podemos contar, qué somos nosotros, qué somos nosotros, qué debemos hacer, qué debemos hacer y cómo podemos hacerlo.	Nonkamante jaoka nokantari narori, noyoyetiri, nonebeyetari, amitakotanari nantabere aisati pomerentsitakanari
ShaShiYaYi 	La foto de la muchacha se llama contra su dueño.	Ipotsotaro potsotipatsa maroni iboroki
ShaShiYaYi 	El agua del río es dulce.	Yakayetantaro okantakosanotiri
ShaShiYaYi 	Is acompañaba a una hermana que se había criado en Joaquín, y le enseñó a leer en la revista “Jefe Mixto” y “Jefe Mixto”	Pitsipatyari apani pitsipamintsare, pishiyakantya aparopeni impoiji pisankenatakoyetero pashiniki sankenapanaki piyoyetakeri pibankoki pantayetiri abirori
ShaShiYaYi 	Los hombres y las aves hacen allí los campos y la hierba verde.	Shirampari aisati osheki iyoyetiri yantayetiri kempetachari shebatarontsipe jero tsibo
ShaShiYaYi 	El pájaro saltó un día	Pishiyakante pikoiri pobashiñajeri ñanarentsiki piñanatakeri
ShaShiYaYi 	Si lo coges, volverás a abrir la boca para que no puedas curarte.	Aririka iranonkiriakero, ari pitasonkakia eiro pimatirotsi pintsonkero
ShaShiYaYi 	Dónde está mi conciencia por lo que hago	Maroni nioyetakeri nantayeti
ShaShiYaYi 	Se puede ver el adjetivo en la parábola del sarmiento, pero solo una de las ramas queda afuera y el desgarrón queda afuera.	Añakero oka tsonkatirori okantakotiro tsipatarori; ora antaantsi ontimatie aye aparoni tsonkatsatirori tsipatarori
ShaShiYaYi 	El padre, la madre y los hijos de la joven no tienen a nadie con quien compartir sus comidas.	Pisampiteri piri, picharine, piniro, pisaro oinijayempi pashini kenkitsarentsi ñabentakotirori obetsikayetachari
ShaShiYaYi 	En cambio, las mujeres son responsables en las realidades de la vida	Irointi okarati añaanatakotiri akenkeshirearipeeki
ShaShiYaYi 	Los pájaros cayos en la zona económica exclusiva de la Nación, están durmiendo bajo la etiqueta	Ora kenketsatantsipee antakantirori antaantsi ari omaatakea ompea kempetarori
ShaShiYaYi 	¿Cómo lo va a llevar el padre, la hermana, el cuñado y la esposa?	¿Jaoka ikantari piri yamitakotiri irirenti, iritsiro, iraniri jero ijinatsori?
ShaShiYaYi 	Estamos frente a sus historias.	Ñabentakotachane kenkitsarentsiki
ShaShiYaYi 	Cuando se cortó el agua nueva, la ropa se puso	Opotsojatanakerika nija obakera aiminkiekero kitsarentsi
ShaShiYaYi 	Los cuervos no comen a menos que se laven las manos contra los machos cabríos y las rodillas contra los pollitos,	Ora poyatsatacharipee sampitakorentsi yantayetantaro anta sampitantsiki kanta-kosanotiriri, aisati kaari kantakosanotiriri
ShaShiYaYi 	Me dejó este flechazo en la mano derecha de Eni: “Voy a terminar mi trabajo dos veces”.	Meka ikantiri Emoki yora Eni: Narokea nanakotakempi timabaji nashi 2 intsipa
ShaShiYaYi 	De la mano de tu prójimo se va a decir a tu prójimo: “Responde a tu prójimo y te comienza a maltratar ”.	Meka pamenakayeteri pitsipamintsare pantayetakeri impoiji ponijayeri obametimpiri irobametsatakajempiro
ShaShiYaYi 	Hay quienes son como la semilla que cayó entre espinos: oyen el mensaje, lo dicen los borrachos, los chismosos, los borrachos y los quejumbrosos.	Ora okireatsatantsipee irojeitake pashini-yetatsiri ñaantsi mapokantsi jero akantasanotari arori, kempe ñashitantsi, katsinabetantsi, kisantsi, nintanentsi jero otsipapee
ShaShiYaYi 	algunos tienen conocimiento de las dos cosas.	Aparopeeni otimayeti antaantsi apite tsipatarori
ShaShiYaYi 	Mi paisano índice fue el segundo: “Dos días tengo colgados.”	Apite ashaninka ikenkitsabeti: "Aparo kitaiteri nopimantake 2 amatserentsi"
ShaShiYaYi 	Los reyes de la tierra se cambiaron y los habitantes de la tierra se multiplicaron por un poco de tiempo.	Opashinijeitiro ora bajirontsipee okantakotiro oshekiantsi.okapee ari omatakea opeempa ñakaarontsitakori aisati nakaaroripee ashisanori iroori
ShaShiYaYi 	La madre del tigre varó.	Yaabakero iriniro Tsonkiri
ShaShiYaYi 	Se convirtió en hombre, allí empató tres botellas.	ikemeta shirampari, ari otsatyake3 ibianetsa
ShaShiYaYi 	Cuando la tierra se empapa de la sangre de los toros y de los machos cabríos, y de la sangre de los toros y de los becerros, las masas rocosas se mezclan con la sangre de los animales,	Ontimerika antirori ashi jibatatsiri aisati apitetatsiri atiri, teerika jibatatsiri aisati mabatatsiri atiri, ora antaantsi ojate jibatatsiriki atiri oshekiakotiroriki
ShaShiYaYi 	– Exigirles que cumplan con sus obligaciones, exigiéndoles y garantizando su derecho a la defensa y a la defensa de sus territorios.	Opanti iotantsipee okantakoteri jero kamantakotantsi kearioperori
ShaShiYaYi 	Originario del Clima	Orijanitakore obera antaantsi
ShaShiYaYi 	Los gobiernos de los Estados Unidos Mexicanos y de los Municipios tienen gobiernos que les permiten construir sus casas; construyen nuevas	Piñanatero pisankenari ikemantyamiri pitsipamintsare jeri obametimpiri Pikemeri ikanteri pobetsikantajearori
ShaShiYaYi 	En la presentación de las mujeres se puede ver el cumplimiento de la promesa	Yora sankenatirori amitakotiri iñaayetiri ikantaperotiri teerika iñaanatakobentiro yantayetakeri kameetsari eirokea ikantashiyetantaripee
ShaShiYaYi 	El jefe de los sacerdotes no reconoce los méritos de la gente por haber sido alcanzado	Ora antaantsi kaari abisatsiripee tee okoasanotyaji otsipatyaro aparoni tsipatarori kantakotirori
ShaShiYaYi 	Los perros que miran están pecando, y los que cometen adulterio cometen adulterio.	Ora kenketsatantsipee ñaantsiki iranteeteri, ainiro antirori iranteeteri, airori antayetiri antaantsi
ShaShiYaYi 	Luego lo exprime, después lo cierne sobre el tabaquero, allí aprenden a ser buenos para pegar.	Ari amatakero ompoña anebetakiaro ejati ari ayotake oshekipaye kametsari iroperori yotanetantsi
ShaShiYaYi 	Sabino es.	Piyote pisankenatero obajiro
ShaShiYaYi 	La clase de semilla se encuentra en la raíz de la linterna.	Timatsi bajirontsipee opoña ara antaantsiki otsipapeeki kempetarori
ShaShiYaYi 	En las hojas de carne podrida de la soberanía, con su carne	Inkireeshiki osankenata kantashi okempeta iñanete
ShaShiYaYi 	El Cordero es el pastor y los hombres de la casa de Jarán.	Ora antaantsi shitikerone jero ikantakoyetiri obetsikayetiro ora antakantirori bajirontsi (AB)
ShaShiYaYi 	Cuando lo pueda aplicar, puede ser que en el futuro los corredores cojan	Ari antantyarori koajikani, okantakoteri oitaiterite antanainchari koajikani
ShaShiYaYi 	¿Quién es el que tiene vergüenza? ¿El que está adentro?	¿Janika ñabentakotachari?¿Jaoka osaikiri?
ShaShiYaYi 	El vino vino fuerte	Ora pearentsi shintsijaitake
ShaShiYaYi 	Una mujer que estaba pegada en la canoa dejó una huella en su chacra.	Akemakotakero okantakota aparo tsinane jatamanatsiri okitaiteamanake otsameeti obaaneki
ShaShiYaYi 	En estos breves períodos el sacerdote sacerdote sacerdote habla de las causas graves de la enfermedad, de las mujeres y de los grupos de los jefes militares.	Oka omonkaratakantiri okonijati ikobaperoetiro anta ñaanatakorentsiki añaabeetashitari, akamantakotiri aisati iñaanatakoyetiro pinkatsaritakobentantsi
ShaShiYaYi 	Un anciano es un administrador de la casa, y debe vivir de manera intachable.	Ora kamantakorentsi ari omatakea opomerentsitya, eiro amatantaro akematsatero ora kamantantsi
ShaShiYaYi 	Los endemoniados y los hermanos de Ení tenían 98 hojas de humiro, y Ení tenía 63 hojas de humillo	Kamori jeri irirenti Eni yajeitaiti 98 kompiroshi, Eni yake 63 kompiroshi
ShaShiYaYi 	El mar Muerto y el mar Muerto, junto al mar Muerto, dejan libre al Hijo del Hombre para que se prepare el pan y los pescados, y todo lo que ensucie, lo ensalcen.	Ora kenketsatantsiki antakantirori bajirontsi, ara birakochaki, otimi antaantsi tsipatsatarori ser, estar teerika parecer, abetsikantyarori tsiparentsi ara antirori jero ikantakoyetiri okantiri okantayeta antirori
ShaShiYaYi 	La que proporciona la información, por lo que está disponible en su territorio, es el fin de que el blanqueador reciba al inculpado, el que recibe la instrucción técnica del embalse.	Ora kamantantsi irointi timantarori kamantakoyetantsipee okantya yora ñaanatatsiri itiankeneri yora ayeroneri ñaanatantsi
ShaShiYaYi 	El jefe de pesca es una cosa para pescar.	Pikanteri pitsipamintsarepe paita pobashiñantakarori ñanarentsi
ShaShiYaYi 	Cuando ustedes se reúnan, y digan a la iglesia lo que les digo, y lo que le digo a la iglesia, háganlo de esa manera	Pishiyakantakotero pinebetabakari ñanarentsiki piñanajeitakeri, poinijayeri pitsipamintsare impoiji obametimpiri
ShaShiYaYi 	– ¿Dónde están las raíces?	Abetsikakotero jaoka ankantayeterori
ShaShiYaYi 	“Vamos a moler la vergüenza de esta chacra.”	Tsame abetsikakoyetajero ikamantakeri shameti okantakota apotsoyetari aboroki
ShaShiYaYi 	Son funciones de los seres de la cocha Nacional.	Irotake amanantayetantarori koityanainchari anampipeki
ShaShiYaYi 	Los sacerdotes que no son descendientes de Leví son enviados por Moisés y Aarón.	Okaratiro ora antaantsipee kaari shitikerone, irootake oniankire antakantirori antaantsi (AA)
ShaShiYaYi 	En este plazo, debe notificar a los responsables de las áreas fronterizas.	Oka omonkaratakantiroriki okamantako-tiro aparoni kamantakotantsi okoakanti-riki
ShaShiYaYi 	Hermano, ¿podemos estar con los titulares cuando descansamos y nos da la yuca?	Atyo, ¿choratya okantakoyetiri arika ampotsoyetya aisati atsapayetari aboroki?
ShaShiYaYi 	La lucha y la lucha	Okoñatantakari aisati opashiniyeti abetsikayetiri
ShaShiYaYi 	Hay otras que se caracterizan por ser las que se explican en la revista, la “presidencia”	Timatsi otsipa karayetirori amitakoterone kempetarori oka sankenatainchariki
ShaShiYaYi 	El pájaro carpintero es.	Pishiyakantakotero sampitantsi
ShaShiYaYi 	" ¿Has visto los colores de los hombres y de las mujeres?	¿Piñayetake shirampari ipotsoyeta aisati tsinane opotsoyeta? ¿Jaoka?
ShaShiYaYi 	La masa de yuca es una comunidad, los achiotes y las formas de costrucción de los palos, los palos, las peñas y los humedales se hacen en henequén	Maroni atsapayetari, apotsoyetaro potsoti aboroki aisati abetsikashiyetiro apatakantyarori apotsotantyarori tsapayetachari aboroki aisati akentakoyetaro eiro opiantajatsi
ShaShiYaYi 	EL QUINTO DE UNA MUJERA que se solidarice con los vecinos y los discípulos	Pishiyakante impoiji pisankenatakotero jaoka okantari ampotsotempa ariorika ajate ankibantayete
ShaShiYaYi 	El masato se consigue para hacer los proyectos de ley.	Ora amashirentsi otimatie amenaperotero antabeetantya-rori sankenarentsi
ShaShiYaYi 	Los cuerpos de agua y los cuerpos de avestruces pertenecientes a los núcleos de población que habitan en el territorio boliviano y cuyos titulares titulares titulares de licencias de uso de sus fronteras	Ora poyatsatacharipee nijantirori onijantiri atiripee teerika konijayetatsiri timatsi arejinenta itiminta ñaanatatsiri (naro) aisati yora airori ñaantsi (abiro) ashi kamantakorentsi
ShaShiYaYi 	Todo esto no es bueno para nada, lo que abundan las palabras, lo que abunda en todas partes	Okaki shiakabentsipee intayetanakari añaayetiro oshekitatsiri ñaantsipee ashaninkaki ainitatsi oshintsitsare oshekitatsiri
ShaShiYaYi 	Limpia la piña con el masato.	Pikenkitsatero pikematsatabakeri ñanarentsiki
ShaShiYaYi 	La niñez saca la educación	Yora jananekipee ipankenataro oametantsiki
ShaShiYaYi 	Así será, no me siento bien [no sé].	Ariyaata nonkibante, eirorika nokiaji
ShaShiYaYi 	Así es, Jesús contamos estas palabras que nos dice nuestros abuelos.	Aritake okantari akamantabakajeita irotake yobametanakeri acharineiteni
ShaShiYaYi 	Los labios de los cuervos, de las aves y de los reptiles que se arrastran por el suelo, son como el sonido de un gran trueno;	Otimi aisati ñaantsijanikipee tsipatakori, ikanteetiri, obaritsapee irootake koasanotatsiri ontsipatyaro ora karatiroripee otimantyari oñaanatya aisati obetsikantanakeari ashi sankenarentsipee
ShaShiYaYi 	En ese momento se fueron y quedaron en el monte; y el monte estaba lleno de alegría, y más tarde lo habían cortado, porque no estaba bueno el cuerpo del muerto.	Irosati ishiantanaka ipoñaaja antamishiki, ikimoshiretanaji iobetaka oka yantabetakari kaari kameetsatatsi aanakerime kamanentsiki ikamakeme
ShaShiYaYi 	La palabra es un consejo para las adolescentes, no para los demás, sino para los pequeños.	Ora ñaantsijaniki irointi aparotakotirori orijaniki, teempa eiro omatatsi otsipareempa karayetirori orijanitirori okantakotiri
ShaShiYaYi 	No tiene corazón, es una adivina que viene por mí.	Tee aneroji itsare, irootake ipokantakari
ShaShiYaYi 	Quién es el siervo fiel y prudente a quien su amo deja encargado de los de su casa, para darles de comer a su debido tiempo?	Temparikea, yoka antirori tee iranteroji, irookea obetsikantanakeari irantantyarori itsipa
ShaShiYaYi 	Cómo sucedió esto? ¿Qué le pasó al Hijo del Hombre?	¿Kametsatakempa yantakeri Shopa? ¿Paitakea? Terika poametsatajero
ShaShiYaYi 	Esta mujer no está sujeta a estas monturas, sino que se aplica las leyes de esos países y de los municipios.	Irootake eiro omatantatsi asankenatero okantakotiri sankenariki, irointi amenero jaoka okanterori añaanatantyarori ashaninkaki aisati birakochaki
ShaShiYaYi 	Mira esta botella	Pamenero shiakantsi pinkenkitsabete
ShaShiYaYi 	El llorará mucho en el suelo, comienza a llover y a escuchar por eso el viento tiene que llover.	Ora irampabanto choorani osheki oshintsire, opeayetanti aisati ora oñaanatiri kameetsaitake ikemantarori yora birantsipee
ShaShiYaYi 	Los jóvenes se van a Elí.	Yora ebankaripee ijajeiti Aerijaki
ShaShiYaYi 	No tiene Consejo Agua mi gente [aquí]	Tee ontime ora nijaantakotirori nashitakairori ashaninkaki
ShaShiYaYi 	Se ocupa de los recursos hídricos que integran la soberanía alimentaria, de los bienes asociados al agua, la pesca y la pesca.	Añaajeitero oka poyatsatacharipee o nijantirori okempetabakaajeitaka ora nashitakaayetiroripee nijantirori, ashaninkaki aisati birakochaki
ShaShiYaYi 	Son funciones de los poderes superiores y rápidas	Irotake timakairori shintsitantsi aisati intsipaite antakantiro
ShaShiYaYi 	En la tarde estaba un hombre libre en la soberanía militar, sentado sobre un petate.	Oraitya ainiro abararo kari amanantayeti okempeta jebarontsi, kishibakintsi aisati shitashintsi
ShaShiYaYi 	Así es la asignatura de la mujer vendedora, ese hombre es el que se encarga de los huesos de los nativos que trae a su hermano sachavaca y venado	Aisati irotake kantakarori tsinane tijarianto iriotya shirampari kobintsanti tempa aitake yayetiriri itonki ikobintsayetiri kemperi kemari jeri maniro
ShaShiYaYi 	Este hombre bueno va a ayudarme	Yoka shirampari kameetsashireri yamitakotapinitana
ShaShiYaYi 	Un día enfermó una mujer en las ramas de los arbustos, allí limita a sus hombres y ellas son las que conocen a las mujeres.	Aparoni Kitaiteri omontsakaro aparoni tsinane1 inchatoshiki, ari oinijakero antayetiri, irotake meka oyotantajarori tsinanepe
ShaShiYaYi 	Los paisanos locales deben solidarizarse con la solemnidad de la solemnidad pública.	Ora tsipasankenaripee ashaninkaki obetsikakantiro ariorika otime oshintsitsatya oñaanatya
ShaShiYaYi 	El sembrador es, más bien, el dueño de la palabra, tiene su tienda en la mano	Ora iñaneetiri irointi kempetarori ashi betsikirori ñaantsi, timatsiri ayenkeshireamentoki
ShaShiYaYi 	El profesor enseñó todas las cosas en nuestra vida pública, en nuestros paisanos, en kimono, en la escuela, en los trabajos de nuestra nación.	Irootake ñaanentsi iñanajeitiri abaanteki maaroniki añaantariki ara anampiki, ashaninkaki, kimohirentsiki, nampitsiki, kotsimentotsipankoki, antabeerentsikipee ashi anampi
ShaShiYaYi 	Qué les mandó el rey de los judíos a hacer con ellos?	¿Paita inebetari ibetsiki iriori Charima?
ShaShiYaYi 	El loro pequeñito de Naviriri tiene un duende que me dice:	Ora kenketsatantsijaniki antaantsi (KA) timatsi oniankire aparoni antaantsi
ShaShiYaYi 	El carnicero es el encargado de todo.	Oka tsonkatsatirori iroojeitake
ShaShiYaYi 	Los conductos de estos peones son responsables de las normas de seguridad pública.	Yapatoayetiro aka kenketsatantsi sampirentsipee iroyaata kanteroneri ora antaantsi kemperi
ShaShiYaYi 	Caso contrario, el carnicero es su turno.	Tañerorika tsonkatsatirori, irointi okantakotiri maaroni
ShaShiYaYi 	El que tiene nuestros mejores deseos es el que se alimenta de nuestros hijos.	Otimatiye akoasanote ontime irooperori antayeteri sankenarentsipee
ShaShiYaYi 	¿Por qué se roban el baño?	¿Paita yaashiyetirori yobetsikantarori?
ShaShiYaYi 	Los niños de hoy en día dicen: “Nosotros sabemos quién es Miga”	Ñanarentsika añanateri okanti "Piyojeitena nopajita Mika" Akajeitero sampitantsipe
